Source_Name_3FGL,Flux_Density_log,Unc_EnergyFlux100_log,Spec_index,significant_curve_log,variability_log,hr12,hr23,hr34,hr45,GLAT_3FGL_3FGL,Pivot_Energy,Spectrum_Type,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_Predict,NN_Predict,LR_Predict,RF_Predict
3FGL J0114.8+1917,-29.87328078,-27.88384866,2.3102372,-0.575792503,3.649107481,-0.856665382,-0.247772936,-0.630057463,-0.585832559,-43.231922,1581.0696,PowerLaw,0.999710726,2.89E-04,0.994670831,0.005329169,0.99892786,0.00107214,0.986548566,0.013451434,0,0,0,0
3FGL J0116.8+6913,-26.07631829,-27.18829401,2.759096,0.645481719,3.924471303,-0.69923438,-0.896580758,-0.767079755,-0.999750328,6.46833,504.93448,PowerLaw,0.996945786,0.003054214,0.904816847,0.095183153,0.897940797,0.102059203,0.960862075,0.039137925,0,0,0,0
3FGL J0127.4+5433,-27.74272694,-27.45609643,2.5324936,-0.632397202,3.589362581,-0.730202377,-0.65088879,-0.924679903,0.180678609,-7.948505,828.52924,PowerLaw,0.998966887,0.001033113,0.992670426,0.007329574,0.999810548,1.89E-04,0.975779722,0.024220278,0,0,0,0
3FGL J0127.5+5634,-26.92276229,-27.33871791,2.5862625,-1.097639362,3.987039416,-0.53893851,-0.893194776,-0.666055522,-0.20951277,-5.952526,695.18384,PowerLaw,0.999668364,3.32E-04,0.993592462,0.006407538,0.99997393,2.61E-05,0.98722695,0.01277305,0,0,0,0
3FGL J0127.6+4851,-28.49366824,-27.67313081,2.4481723,-1.783416786,4.204564551,-0.551852262,-0.708398157,-0.633810988,-0.766519189,-13.57893,1047.4584,PowerLaw,0.999917476,8.25E-05,0.995227785,0.004772215,0.999985833,1.42E-05,0.995822341,0.004177659,0,0,0,0
3FGL J0132.1-5340,-29.27313616,-28.00648149,2.319403,-0.539675131,3.552486972,-0.011045533,-0.70053568,-0.703612432,-0.546612192,-62.40861,1242.8344,PowerLaw,0.999577893,4.22E-04,0.994606525,0.005393475,0.99875208,0.00124792,0.982988937,0.017011063,0,0,0,0
3FGL J0133.2-4737,-27.09312248,-28.01090233,2.7074742,-1.787696116,3.509401052,-0.743095051,-0.691239494,-0.902900721,0.094901788,-67.93795,504.86322,PowerLaw,0.999614914,3.85E-04,0.995498849,0.004501151,0.999995848,4.15E-06,0.976135183,0.023864817,0,0,0,0
3FGL J0133.3+5930,-30.18429196,-27.41079317,2.2115479,-0.55845485,3.751171156,-0.240022626,-0.751736457,-0.309339564,-0.827124796,-2.9256306,2356.1208,PowerLaw,0.997528554,0.002471446,0.979918533,0.020081467,0.99864761,0.00135239,0.958369085,0.041630915,0,0,0,0
3FGL J0138.5-4612,-30.12115127,-27.95748047,2.0609827,-0.564188075,3.693389021,-0.299895206,-0.547803889,-0.548868506,-0.585152931,-68.76349,2009.1926,PowerLaw,0.999883019,1.17E-04,0.994693127,0.005306873,0.999032952,9.67E-04,0.996715118,0.003284882,0,0,0,0
3FGL J0149.6+4846,-27.57919756,-27.61170635,2.6199348,-0.016155764,3.575412279,-0.834189539,-0.802077972,-0.363965233,-0.597112154,-12.991856,717.1682,PowerLaw,0.999794261,2.06E-04,0.988976558,0.011023442,0.997476904,0.002523096,0.987809822,0.012190178,0,0,0,0
3FGL J0154.1+4642,-27.9676134,-27.72497318,2.5520542,-1.120688679,3.625397095,-0.728132596,-0.578181983,-0.999974917,0.99975235,-14.819924,786.5638,PowerLaw,0.999405001,5.95E-04,0.995279142,0.004720858,0.999997042,2.96E-06,0.975249265,0.024750735,0,0,0,0
3FGL J0156.5-2423,-31.09551363,-27.89415504,1.8884518,0.186382218,3.778896011,0.50503343,-0.42481103,-0.584061214,-0.381134471,-75.10631,2763.535,PowerLaw,0.999831707,1.68E-04,0.993545323,0.006454677,0.995455974,0.004544026,0.996982715,0.003017285,0,0,0,0
3FGL J0158.6+0102,-28.02617467,-27.77043357,2.5585058,0.345581549,3.789087732,-0.724908269,-0.93497361,-0.028509538,-0.290205377,-57.513157,827.643,PowerLaw,0.999943816,5.62E-05,0.994432184,0.005567816,0.999459335,5.41E-04,0.991669289,0.008330711,0,0,0,0
3FGL J0200.3-4108,-31.35840068,-27.92016794,1.8781707,-0.687259865,3.846288548,-0.988802656,0.826976135,-0.474718852,-0.623122058,-70.08185,3490.8992,PowerLaw,0.999918391,8.16E-05,0.994774468,0.005225532,0.999542403,4.58E-04,0.997536304,0.002463696,0,0,0,0
3FGL J0203.6+1148,-26.89560916,-27.42312376,2.7145154,-0.005547057,3.498050522,-0.667645321,-0.839575721,-0.839012319,0.259520572,-47.306583,608.32184,PowerLaw,0.999405175,5.95E-04,0.994940106,0.005059894,0.999397805,6.02E-04,0.97390045,0.02609955,0,0,0,0
3FGL J0211.0+1922,-28.44214986,-27.69663552,2.383586,0.127641657,3.713479306,-0.511743082,-0.790859195,-0.576154288,-0.999912588,-39.650284,1024.156,PowerLaw,0.999096205,9.04E-04,0.985168885,0.014831115,0.972361584,0.027638416,0.948716588,0.051283412,0,0,0,0
3FGL J0216.0+0300,-31.46083074,-27.89368445,2.0137677,-0.839875303,3.627017614,-0.823045152,-0.504968602,-0.375866529,-0.600550363,-53.597607,3324.7903,PowerLaw,0.99987337,1.27E-04,0.994977246,0.005022754,0.999511972,4.88E-04,0.996995461,0.003004539,0,0,0,0
3FGL J0216.4+0507,-29.4762439,-27.87696379,2.24003,0.151012418,3.901166628,-0.594472085,-0.295596008,-0.890999989,-0.386480899,-51.753777,1412.2108,PowerLaw,0.999597431,4.03E-04,0.993384719,0.006615281,0.993868455,0.006131545,0.985008629,0.014991371,0,0,0,0
3FGL J0221.1+6059,-26.1218156,-26.55732391,2.6818604,0.889853036,3.840972533,-0.770960815,-0.754462658,-0.859024461,-0.999846762,-0.002319051,670.4135,PowerLaw,0.464260818,0.535739182,0.539458238,0.460541762,0.628447205,0.371552795,0.679444028,0.320555972,1,0.398,0.09,0.002
3FGL J0221.2+2518,-31.15455326,-27.76221436,1.9356745,-0.185112536,3.638525455,-0.962152648,0.52260308,-0.364473908,-0.648573454,-33.273746,3399.047,PowerLaw,0.99986404,1.36E-04,0.992615938,0.007384062,0.996740739,0.003259261,0.996704141,0.003295859,0,0,0,0
3FGL J0221.8+6138c,-29.85355757,-26.22266051,2.4198194,0.810680096,3.78883976,0.999854102,-0.837995516,-0.669835708,-0.842430973,0.6319488,3022.2283,PowerLaw,0.060565541,0.939434459,0.787556868,0.212443132,0.791791822,0.208208178,0.544318643,0.455681357,1,0.015,0.009,0.226
3FGL J0223.6+3927,-27.74307233,-27.75263912,2.4037545,0.397266726,3.869910095,-0.629537929,-0.728883335,-0.644254621,-0.685779851,-20.032154,882.9315,PowerLaw,0.998646272,0.001353728,0.981726654,0.018273346,0.983239962,0.016760038,0.984096687,0.015903313,0,0,0,0
3FGL J0224.1-1846,-28.02782285,-27.88268344,2.4003537,-0.211169712,3.720782957,-0.57283969,-0.811921056,-0.330777081,-0.762178104,-67.122475,884.1159,PowerLaw,0.999544954,4.55E-04,0.993869072,0.006130928,0.998505929,0.001494071,0.987996325,0.012003675,0,0,0,0
3FGL J0224.4+1615,-29.63321869,-27.66363419,2.261836,-1.005114131,3.961811757,-0.655986519,-0.68110921,-0.599423518,-0.425253911,-41.091526,1622.4056,PowerLaw,0.999883326,1.17E-04,0.99541524,0.00458476,0.999905164,9.48E-05,0.996611738,0.003388262,0,0,0,0
3FGL J0226.7-4747,-25.81764617,-27.9138052,2.9186466,0.030963155,3.638875407,-0.814633666,-0.802617464,-0.687999885,-0.597344282,-62.21617,362.95218,PowerLaw,0.999952055,4.79E-05,0.99267868,0.00732132,0.997388197,0.002611803,0.980559502,0.019440498,0,0,0,0
3FGL J0228.5+8213,-25.89419788,-27.83606487,2.771561,0.109391301,3.723101155,-0.770468852,-0.628048215,-0.841259919,-0.627160878,19.998413,378.12604,PowerLaw,0.999913801,8.62E-05,0.989768158,0.010231842,0.992154133,0.007845867,0.97840209,0.02159791,0,0,0,0
3FGL J0231.0+1302,-27.47012589,-27.61488146,2.5481932,-1.021727528,3.969004292,-0.72929269,-0.792281612,-0.523472495,-0.688897077,-43.11059,721.26764,PowerLaw,0.999925296,7.47E-05,0.995353839,0.004646161,0.999903758,9.62E-05,0.994449985,0.005550015,0,0,0,0
3FGL J0232.6+0646,-26.32416614,-27.70930228,2.665958,0.848959108,4.006103957,-0.721511483,-0.699966785,-0.919417128,-0.813413574,-48.17772,465.37665,PowerLaw,0.997144863,0.002855137,0.960544973,0.039455027,0.908770356,0.091229644,0.952894481,0.047105519,0,0,0,0
3FGL J0233.0+6237,-26.95765959,-26.69576175,2.668114,-0.740158456,4.130030767,-0.763301824,-0.737342705,-0.901251886,-0.375534995,2.0197952,839.5476,PowerLaw,0.887947076,0.112052924,0.99278792,0.00721208,0.999714473,2.86E-04,0.912456843,0.087543157,0,0,0,0
3FGL J0234.2-0629,-31.97695724,-27.85293055,1.8133874,-0.193011006,3.562483288,-0.105297062,-0.701306321,0.031216301,-0.230669091,-58.034374,4520.0195,PowerLaw,0.999852758,1.47E-04,0.99490324,0.00509676,0.999612938,3.87E-04,0.996613401,0.003386599,0,0,0,0
3FGL J0235.7+5647,-25.99757662,-27.29662074,2.6072574,0.030230421,4.107493518,-0.734010824,-0.679605422,-0.743268557,-0.877922942,-3.2338104,547.29767,PowerLaw,0.991134215,0.008865785,0.961582964,0.038417036,0.993235166,0.006764834,0.961159383,0.038840617,0,0,0,0
3FGL J0239.0+2555,-31.5489968,-27.79080966,2.0618744,-0.433245083,3.29451885,-0.786289798,-0.76844697,-0.358395258,-0.344994009,-30.96236,3583.083,PowerLaw,0.999900153,9.98E-05,0.993708872,0.006291128,0.998187636,0.001812364,0.995875212,0.004124788,0,0,0,0
3FGL J0239.4+1326,-30.67813721,-27.63090912,1.9952142,-0.961528372,3.93294765,-0.978188112,0.556185039,-0.543369397,-0.596614574,-41.696938,3086.905,PowerLaw,0.999857483,1.43E-04,0.995191413,0.004808587,0.999788391,2.12E-04,0.99768202,0.00231798,0,0,0,0
3FGL J0240.0-0253,-27.96184209,-27.89296241,2.4378898,0.752270393,4.1689714,0.247312532,-0.729380829,-0.994662509,0.905886343,-54.49211,774.0558,PowerLaw,0.999828057,1.72E-04,0.995123635,0.004876365,0.999779382,2.21E-04,0.973403686,0.026596314,0,0,0,0
3FGL J0242.1-0534,-28.11968525,-27.89022497,2.480424,-0.969079038,4.184595755,-0.793017169,-0.63073009,-0.572846826,-0.999881054,-55.967793,794.0657,PowerLaw,0.99962183,3.78E-04,0.995153202,0.004846798,0.999777917,2.22E-04,0.981412288,0.018587712,0,0,0,0
3FGL J0244.4+4745,-26.20561456,-27.66147105,2.6242933,1.219516522,3.545727475,-0.759595579,-0.776721783,-0.924101195,-0.999777556,-10.922361,463.37177,PowerLaw,0.607488483,0.392511517,0.250927515,0.749072485,0.28182435,0.71817565,0.786796029,0.213203971,0,0.987,1,0
3FGL J0248.4+5130,-29.66284697,-27.31143443,2.0670924,-0.264141473,3.4976885,0.178769475,-0.821026007,-0.11092553,-0.533693,-7.2564096,2793.949,PowerLaw,0.999428274,5.72E-04,0.986652943,0.013347057,0.9987392,0.0012608,0.995629716,0.004370284,0,0,0,0
3FGL J0251.1-1829,-32.74697859,-27.76363551,1.6198902,0.883696753,3.629094338,0.999884713,-0.999994319,0.999969788,-0.519761213,-61.165733,6318.966,PowerLaw,0.999702904,2.97E-04,0.990987434,0.009012566,0.998000087,0.001999913,0.983981904,0.016018096,0,0,0,0
3FGL J0254.2+5903,-27.12111509,-26.83359744,2.658566,0.005661742,3.584829052,-0.640827593,-0.84900874,-0.928464706,0.325547338,-0.14139023,799.08386,PowerLaw,0.997241258,0.002758742,0.981967091,0.018032909,0.999003982,9.96E-04,0.9354559,0.0645441,0,0,0,0
3FGL J0258.2+3555,-27.21796205,-27.6871376,2.609749,-4.456194042,3.690906523,-0.805054321,-0.628964923,-0.999436566,0.992323301,-20.21816,608.7475,PowerLaw,0.999580761,4.19E-04,0.997154663,0.002845337,1,3.22E-10,0.975010799,0.024989201,0,0,0,0
3FGL J0258.9+0552,-29.62617423,-27.5239421,2.1246219,0.544411704,3.661791439,-0.518598517,-0.467582524,-0.536585676,-0.714346029,-44.836224,2146.9763,PowerLaw,0.999662315,3.38E-04,0.979038717,0.020961283,0.943914843,0.056085157,0.994125674,0.005874326,0,0,0,0
3FGL J0307.3+4916,-28.64316592,-27.2961835,2.0957446,0.401765941,3.979231459,-0.620076433,-0.408381619,-0.680979781,-0.387433209,-7.8150034,1920.9581,PowerLaw,0.993285411,0.006714589,0.974787046,0.025212954,0.989539331,0.010460669,0.980143517,0.019856483,0,0,0,0
3FGL J0308.4-2852,-28.19186616,-27.95991581,2.5369458,0.265852098,3.262073427,-0.726983155,-0.692239687,-0.418016202,-0.999915461,-59.818363,773.11346,PowerLaw,0.997526129,0.002473871,0.968707657,0.031292343,0.950508104,0.049491896,0.95640988,0.04359012,0,0,0,0
3FGL J0312.7-2222,-32.43444092,-27.70742571,1.6247706,0.834316523,3.578460332,0.94757981,-0.432603942,0.357539051,-0.355709696,-57.68242,6047.084,PowerLaw,0.998659235,0.001340765,0.990607593,0.009392407,0.995135509,0.004864491,0.989396645,0.010603355,0,0,0,0
3FGL J0312.7+2011,-32.39417863,-27.59241088,1.7185972,-0.433789524,3.79326305,-0.970590251,0.558509224,-0.22511416,-0.309861155,-31.606558,7110.615,PowerLaw,0.999834437,1.66E-04,0.994305877,0.005694123,0.999648725,3.51E-04,0.997524755,0.002475245,0,0,0,0
3FGL J0322.5-3721,-28.3946369,-27.86828527,2.1997874,0.663869697,3.897573249,0.381479929,-0.588343754,-0.683497078,-0.799123869,-56.697277,1087.436,PowerLaw,0.995489022,0.004510978,0.978776139,0.021223861,0.953536931,0.046463069,0.959232024,0.040767976,0,0,0,0
3FGL J0323.7-6038,-29.05349311,-27.87827948,2.4398363,-1.746124506,3.927019553,-0.671045217,-0.896040143,-0.031769604,-0.999965371,-47.80628,1136.5219,PowerLaw,0.999944334,5.57E-05,0.995531836,0.004468164,0.99999036,9.64E-06,0.972861387,0.027138613,0,0,0,0
3FGL J0324.5-1315,-27.22839991,-27.82479921,2.6469278,-3.181135052,3.69057851,-0.586067329,-0.940887404,0.003409569,-0.999953139,-51.675007,572.0578,PowerLaw,0.999362166,6.38E-04,0.995805798,0.004194202,0.999999801,1.99E-07,0.951703385,0.048296615,0,0,0,0
3FGL J0327.4+5828c,-26.30951075,-27.02336647,2.5017505,0.974619487,3.96992311,-0.403406617,-0.677610585,-0.876005925,-0.718635206,1.5541462,647.1168,PowerLaw,0.992814709,0.007185291,0.719095196,0.280904804,0.835804864,0.164195136,0.952943809,0.047056191,0,0.01,0,0
3FGL J0330.6+0437,-28.58436284,-27.57362211,2.2363307,0.875889815,4.121634774,-0.247839302,-0.651217707,-0.427454785,-0.999992506,-40.14347,1316.7439,PowerLaw,0.920564438,0.079435562,0.960726702,0.039273298,0.928431463,0.071568537,0.867637113,0.132362887,0,0,0,0
3FGL J0332.4+4644,-27.24586831,-27.41987298,2.46899,0.917444946,3.673460694,-0.531700943,-0.829645173,-0.712330555,-0.710362913,-7.666051,752.14813,PowerLaw,0.993892348,0.006107652,0.738037663,0.261962337,0.829312837,0.170687163,0.948838795,0.051161205,0,0.002,0,0
3FGL J0333.6+0233,-30.56031451,-27.73111784,2.071027,-1.050644463,3.646266951,-0.450149493,-0.702999579,-0.18033181,-0.778182941,-40.93062,2619.4026,PowerLaw,0.999819929,1.80E-04,0.99518601,0.00481399,0.999782075,2.18E-04,0.994617817,0.005382183,0,0,0,0
3FGL J0340.4-2423,-30.94050632,-27.93939781,2.0884702,0.125385795,3.366244519,-0.670214377,-0.409215829,-0.64846481,-0.560619898,-52.02948,2621.6863,PowerLaw,0.999356777,6.43E-04,0.98802287,0.01197713,0.972130431,0.027869569,0.990571924,0.009428076,0,0,0,0
3FGL J0342.3+3148c,-28.46304906,-27.01630997,2.276013,0.931596676,3.869541092,0.996531602,-0.726774731,-0.723988282,-0.665010947,-18.380852,1573.4115,PowerLaw,0.975211066,0.024788934,0.953910641,0.046089359,0.893325333,0.106674667,0.938315003,0.061684997,0,0,0,0
3FGL J0342.8+1321,-31.96436963,-27.64825568,1.9091171,0.630954865,3.662522902,0.060840867,-0.211105471,-0.55259913,-0.473607412,-31.966251,4714.5073,PowerLaw,0.999635144,3.65E-04,0.98041343,0.01958657,0.955811791,0.044188209,0.995908567,0.004091433,0,0,0,0
3FGL J0348.1+4431,-29.25718569,-27.43062669,2.2760146,0.10164733,3.397211147,-0.369491952,-0.744366765,-0.762263225,-0.31665166,-7.768815,1553.3566,PowerLaw,0.998649883,0.001350117,0.975755995,0.024244005,0.985373534,0.014626466,0.964207681,0.035792319,0,0,0,0
3FGL J0348.4+6039,-32.5329269,-27.50660899,1.8813975,-0.296966856,3.671178716,0.999772398,-0.87096409,-0.363068005,-0.010361715,4.8845844,7406.587,PowerLaw,0.999834117,1.66E-04,0.985332885,0.014667115,0.999623184,3.77E-04,0.995682598,0.004317402,0,0,0,0
3FGL J0351.0-2816,-31.20378467,-28.02685208,2.0426261,-0.688336968,3.649084458,0.851892391,-0.450121602,-0.724273696,-0.229982698,-50.453266,2804.3025,PowerLaw,0.999386868,6.13E-04,0.995203938,0.004796062,0.999702185,2.98E-04,0.988365222,0.011634778,0,0,0,0
3FGL J0351.4-3248,-26.63875865,-27.95970625,2.7970726,-0.414882705,3.411523747,-0.754600502,-0.7262611,-0.699665244,-0.999989761,-50.899784,441.5151,PowerLaw,0.999177671,8.22E-04,0.990875059,0.009124941,0.993621577,0.006378423,0.944503664,0.055496336,0,0,0,0
3FGL J0359.7+7649,-30.81068729,-27.99369336,2.166003,-0.452411758,3.992703381,-0.911638117,0.046891599,-0.625759179,-0.766811668,17.812963,2401.9714,PowerLaw,0.999839512,1.60E-04,0.994140075,0.005859925,0.998118952,0.001881048,0.995785048,0.004214952,0,0,0,0
3FGL J0401.0-5359,-30.89559814,-28.01260829,2.223421,0.588807033,3.377864372,-0.600690571,-0.770119094,-0.704631311,0.286150628,-46.30611,2244.042,PowerLaw,0.999624094,3.76E-04,0.99255983,0.00744017,0.992578721,0.007421279,0.983870719,0.016129281,0,0,0,0
