Source_Name_3FGL,Flux_DEN,unc_energy_flux_100,Spectral_Index_old,Signif_curve_1,var,hr12,hr23,hr34,hr45,GLAT_1,Category_3FGL,CLASS_3FGL,Pivot_Energy_1,SpectrumType_1,ASSOC1_1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times in Testing,Flags
3FGL J0001.2-0748,-28.35382605,-27.68698488,2.1493483,0.641978984,3.906773511,-0.324667683,-0.599118156,-0.425146785,-0.908887539,-67.32425,AGN,bll,1263.8359,PowerLaw,PMN J0001-0746,0.977748326,0.022251674,0.972509204,0.027490796,0.95280988,0.04719012,0.895368472,0.104631528,302,0
3FGL J0002.2-4152,-30.24504063,-28.02967274,2.0889208,-1.608075741,4.031600963,-0.807390796,-0.738067109,0.067455621,-0.580624315,-72.14272,AGN,bcu,1956.0415,PowerLaw,1RXS J000135.5-415519,0.999964827,3.52E-05,0.991626534,0.008373466,0.999993135,6.87E-06,0.998742648,0.001257352,288,0
3FGL J0003.2-5246,-31.54365876,-27.90739503,1.8952075,-0.09545067,3.812875085,-0.999748774,0.991051089,-0.397129256,-0.454391092,-62.824707,AGN,bcu,3676.2268,PowerLaw,RBS 0006,0.9999565,4.35E-05,0.989636374,0.010363626,0.998495659,0.001504341,0.996939345,0.003060655,291,0
3FGL J0003.8-1151,-30.75114293,-27.97315839,2.0235214,0.581936251,3.881391536,0.796120394,-0.389624007,-0.664556136,-0.449034661,-71.08423,AGN,bcu,2315.8784,PowerLaw,PMN J0004-1148,0.999578425,4.22E-04,0.983903571,0.016096429,0.986019256,0.013980744,0.98830084,0.01169916,308,0
3FGL J0004.7-4740,-26.8768287,-27.84574273,2.4035163,0.607582212,4.726791668,-0.532141432,-0.698347124,-0.635800504,-0.999992715,-67.51865,AGN,fsrq,722.59973,PowerLaw,PKS 0002-478,0.998329323,0.001670677,0.985149107,0.014850893,0.991159133,0.008840867,0.947337319,0.052662681,296,0
3FGL J0006.4+3825,-25.81934889,-27.59842799,2.6171293,0.823317268,4.387791237,-0.727468421,-0.714511877,-0.884553713,-0.639908862,-23.613312,AGN,fsrq,496.52658,PowerLaw,S4 0003+38,0.999923384,7.66E-05,0.974518701,0.025481299,0.978406818,0.021593182,0.989644786,0.010355214,298,0
3FGL J0008.0+4713,-28.19629817,-27.23714294,2.0209966,0.92186807,3.603143827,-0.128631386,-0.519058466,-0.418792941,-0.633187401,-15.002618,AGN,bll,1875.706,PowerLaw,MG4 J000800+4712,0.974083938,0.025916062,0.894252209,0.105747791,0.867692582,0.132307418,0.9611889,0.0388111,292,0
3FGL J0008.6-2340,-32.76020459,-27.68486376,1.5989343,-0.1639293,3.857545996,0.032599993,0.999570207,-0.739576457,0.416237882,-79.75257,AGN,bll,7424.89,PowerLaw,RBS 0016,0.999344276,6.56E-04,0.98968812,0.01031188,0.999747874,2.52E-04,0.983780908,0.016219092,315,0
3FGL J0009.1+0630,-29.0152069,-27.71091956,2.1793637,-0.996861512,4.116717136,-0.513312783,-0.599315647,-0.541871893,-0.517110066,-54.84626,AGN,bll,1548.9703,PowerLaw,CRATES J000903.95+062821.5,0.999947018,5.30E-05,0.992432978,0.007567022,0.999897471,1.03E-04,0.996392926,0.003607074,311,0
3FGL J0009.3+5030,-27.53580794,-26.97852782,1.9286355,0.759633273,4.599523674,-0.531442468,-0.471129138,-0.403181438,-0.563149301,-11.803292,AGN,bll,1656.9579,PowerLaw,NVSS J000922+503028,0.999820256,1.80E-04,0.973935159,0.026064841,0.991776267,0.008223733,0.992813586,0.007186414,289,0
3FGL J0009.6-3211,-28.80027715,-28.02480038,2.3097298,0.027075917,3.750293364,-0.596740735,-0.623579577,-0.703260285,-0.637021066,-79.601845,AGN,bcu,1069.8146,PowerLaw,IC 1531,0.999671253,3.29E-04,0.987087086,0.012912914,0.992552953,0.007447047,0.987933563,0.012066437,313,1
3FGL J0012.4+7040,-28.22760763,-27.29591217,2.4837499,-1.566076936,3.943054315,-0.59534088,-0.869545042,-0.568573316,-0.441835598,8.046483,AGN,bcu,1066.8414,PowerLaw,TXS 0008+704,0.99990249,9.75E-05,0.990419888,0.009580112,0.999970277,2.97E-05,0.995032475,0.004967525,300,8
3FGL J0013.2-3954,-28.22389802,-27.85886356,2.2117834,-1.885022917,4.011471393,-0.564600305,-0.626851708,-0.586269932,-0.350811907,-74.96217,AGN,bll,1139.5116,PowerLaw,PKS 0010-401,0.999888848,1.11E-04,0.991940917,0.008059083,0.999993781,6.22E-06,0.996331869,0.003668131,298,0
3FGL J0013.9-1853,-31.14581564,-27.99473262,1.9351506,0.486400709,3.596182993,0.99911541,0.342174432,-0.420619201,-0.836871206,-78.0784,AGN,bll,2844.402,PowerLaw,RBS 0030,0.983623974,0.016376026,0.968098623,0.031901377,0.971576933,0.028423067,0.890069678,0.109930322,313,0
3FGL J0014.0-5025,-31.16218343,-28.00855233,1.9238772,0.371497968,3.836813005,-0.739192463,-0.278573801,-0.630847604,-0.448877519,-65.633064,AGN,bll,2914.0332,PowerLaw,RBS 0032,0.999773096,2.27E-04,0.985795604,0.014204396,0.98470984,0.01529016,0.992949185,0.007050815,296,0
3FGL J0014.6+6119,-31.24110514,-27.31971981,1.8874854,0.888861568,3.927609365,0.955237768,-0.084374271,-0.277528749,-0.458452091,-1.2385842,AGN,bcu,5187.997,PowerLaw,4C +60.01,0.997927758,0.002072242,0.876973645,0.123026355,0.981199054,0.018800946,0.991015342,0.008984658,308,0
3FGL J0014.7+5802,-32.02246427,-27.57167373,1.9128166,-0.3954289,3.676555576,0.923888966,0.82992441,-0.538831261,-0.539200917,-4.4827323,AGN,bll,5677.0996,PowerLaw,1RXS J001442.2+580201,0.999392515,6.07E-04,0.964800473,0.035199527,0.998600201,0.001399799,0.99551488,0.00448512,308,0
3FGL J0015.7+5552,-30.6519148,-27.56505334,2.1145282,0.042450492,3.628926059,-0.612040553,-0.708852423,-0.58331449,-0.588342847,-6.6486773,AGN,bcu,3002.9968,PowerLaw,GB6 J0015+5551,0.999741781,2.58E-04,0.961798432,0.038201568,0.984687565,0.015312435,0.997235731,0.002764269,303,0
3FGL J0016.3-0013,-25.50073319,-27.71218464,2.6178546,1.227165971,5.030950404,-0.616784239,-0.795090013,-0.908771878,-0.355854503,-61.808758,AGN,fsrq,449.44128,PowerLaw,S3 0013-00,0.999988008,1.20E-05,0.9860668,0.0139332,0.994239146,0.005760854,0.980767167,0.019232833,311,0
3FGL J0017.2-0643,-29.82713945,-27.80916788,2.1161962,-0.053335694,3.621391842,0.031875911,-0.167553473,-0.69133399,-0.771387465,-68.03635,AGN,bcu,1905.9727,PowerLaw,PMN J0017-0650,0.997685206,0.002314794,0.986874565,0.013125435,0.987839606,0.012160394,0.978892506,0.021107494,322,0
3FGL J0017.6-0512,-27.07538914,-27.39035353,2.50629,0.61752695,5.438452152,-0.651864181,-0.716061772,-0.813044896,-0.500378042,-66.64299,AGN,FSRQ,861.1856,PowerLaw,PMN J0017-0512,0.999978241,2.18E-05,0.990832314,0.009167686,0.999448811,5.51E-04,0.991545224,0.008454776,307,0
3FGL J0018.4+2947,-32.19509039,-27.97880711,1.8645151,-2.430565464,4.030711995,0.884908636,-0.839906357,-0.166074473,-0.173117601,-32.53204,AGN,bll,4720.1187,PowerLaw,RBS 0042,0.99995282,4.72E-05,0.992332027,0.007667973,0.999999655,3.45E-07,0.998298567,0.001701433,316,0
3FGL J0018.9-8152,-29.60222247,-27.66228168,2.0754406,-1.171167014,4.450296148,-0.658769818,-0.658890441,-0.518360336,-0.27289898,-35.163124,AGN,bll,2187.517,PowerLaw,PMN J0019-8152,0.999992596,7.40E-06,0.992350081,0.007649919,0.999984323,1.57E-05,0.99922666,7.73E-04,281,0
3FGL J0019.1-5645,-28.75636498,-28.02120926,2.3909311,-0.64464422,4.140851232,-0.882274398,-0.48227178,-0.598547156,-0.279748388,-59.82244,AGN,bcu,1088.913,PowerLaw,PMN J0019-5641,0.999930342,6.97E-05,0.991362318,0.008637682,0.99991767,8.23E-05,0.991559742,0.008440258,272,0
3FGL J0019.4+2021,-29.58450407,-27.88705996,2.2486298,-0.557360433,4.021427394,0.406755556,-0.863557532,-0.410481412,-0.530666251,-41.877808,AGN,bll,1529.8136,PowerLaw,PKS 0017+200,0.999955406,4.46E-05,0.991888952,0.008111048,0.999789141,2.11E-04,0.99665546,0.00334454,304,0
3FGL J0021.6-2553,-28.92575669,-27.80486435,2.0992868,-1.747331606,4.270646985,-0.663635885,-0.479427086,-0.442544053,-0.601381609,-83.22444,AGN,bll,1520.3076,PowerLaw,CRATES J002132.55-255049.3,0.999956224,4.38E-05,0.991402552,0.008597448,0.999990704,9.30E-06,0.99843584,0.00156416,292,0
3FGL J0021.6-6835,-27.01092496,-27.99710216,2.6524696,-0.577948637,3.948370557,-0.653451758,-0.775366819,-0.749340352,-0.999916108,-48.299847,AGN,bcu,532.6547,PowerLaw,PKS 0021-686,0.999597254,4.03E-04,0.990572803,0.009427197,0.998117005,0.001882995,0.977438137,0.022561863,295,256
3FGL J0022.1-1855,-29.68977101,-27.30593235,1.7990181,0.89170234,4.217570536,0.958960662,-0.377814789,-0.258662286,-0.675488885,-79.38736,AGN,bll,2653.591,PowerLaw,1RXS J002209.2-185333,0.99960945,3.91E-04,0.978892803,0.021107197,0.983113598,0.016886402,0.995405483,0.004594517,302,0
3FGL J0022.1-5141,-29.11261051,-27.68036547,1.9874318,0.539554936,4.084479832,0.31534628,-0.404154307,-0.697587316,-0.252967591,-64.82614,AGN,bll,1760.3436,PowerLaw,1RXS J002159.2-514028,0.999467199,5.33E-04,0.987843053,0.012156947,0.994319106,0.005680894,0.990170095,0.009829905,319,0
3FGL J0022.5+0608,-27.27072954,-27.22975695,2.073243,0.898164642,4.556037398,-0.390619162,-0.581622799,-0.512979611,-0.606588703,-56.008762,AGN,bll,1265.673,PowerLaw,PKS 0019+058,0.999947107,5.29E-05,0.984064459,0.015935541,0.987155077,0.012844923,0.994782429,0.005217571,327,0
3FGL J0023.5+4454,-26.72524604,-27.73594345,2.5684931,-1.355644892,4.24438538,-0.748537858,-0.678308109,-0.773361581,-0.679655957,-17.68494,AGN,fsrq,620.3807,PowerLaw,B3 0020+446,0.999904535,9.55E-05,0.990827442,0.009172558,0.999942872,5.71E-05,0.995504659,0.004495341,298,0
3FGL J0024.4+0350,-28.72305429,-27.74527579,2.2782264,1.015887565,4.316837235,-0.528792,-0.71047057,-0.741809322,-0.658294945,-58.350433,AGN,fsrq,1194.3387,PowerLaw,GB6 J0024+0349,0.996386023,0.003613977,0.970567541,0.029432459,0.945551632,0.054448368,0.97997135,0.02002865,294,0
3FGL J0026.7-4603,-28.85292391,-28.06216036,2.450339,-1.045213674,4.040491151,-0.584864002,-0.7991077,-0.484040888,-0.75564025,-70.44581,AGN,bll,1009.74817,PowerLaw,1RXS J002636.3-460101,0.999984295,1.57E-05,0.991332731,0.008667269,0.999890894,1.09E-04,0.996385383,0.003614617,313,1
3FGL J0028.6+7507,-28.31602911,-27.5998318,2.3414557,-0.89772588,3.630612214,-0.696194307,-0.617722011,-0.439170963,-0.962001779,12.313124,AGN,bcu,1172.9393,PowerLaw,GB6 J0028+7506,0.943001005,0.056998995,0.989443206,0.010556794,0.99842853,0.00157147,0.914800192,0.085199808,292,0
3FGL J0028.8+1951,-27.57774048,-27.79558967,2.4336774,0.680839501,3.75054283,-0.704530255,-0.518921722,-0.95900621,0.035745992,-42.702084,AGN,bcu,761.7829,PowerLaw,TXS 0025+197,0.998494962,0.001505038,0.986990869,0.013009131,0.987020464,0.012979536,0.960893082,0.039106918,305,256
3FGL J0029.1-7045,-28.31242085,-27.75885721,2.284518,-0.487918507,4.310719928,-0.763333389,-0.533356857,-0.500870624,-0.730750413,-46.258186,AGN,bll,1257.5558,PowerLaw,PKS 0026-710,0.999928471,7.15E-05,0.99094158,0.00905842,0.999607875,3.92E-04,0.996755146,0.003244854,296,0
3FGL J0030.2-1646,-31.77806771,-27.56183438,1.6471963,0.281945223,4.163524327,-0.987808381,0.999951193,-0.366078158,-0.412287328,-78.545784,AGN,bcu,5034.0356,PowerLaw,1RXS J003019.6-164723,0.999963256,3.67E-05,0.988287465,0.011712535,0.997404176,0.002595824,0.997505825,0.002494175,285,0
3FGL J0030.3-4223,-24.71297377,-27.73582028,2.5805273,0.410798262,5.134444521,-0.682959962,-0.713184392,-0.799454799,-0.747700388,-74.13968,AGN,fsrq,415.28687,PowerLaw,PKS 0027-426,0.999991663,8.34E-06,0.989152741,0.010847259,0.999084298,9.16E-04,0.995268702,0.004731298,295,0
3FGL J0030.7-0209,-26.58743494,-27.67610499,2.3780944,1.143279202,5.860394979,-0.576075182,-0.681310358,-0.696414396,-0.999978231,-64.54405,AGN,bcu,696.7064,PowerLaw,PKS B0027-024,0.999700699,2.99E-04,0.985855229,0.014144771,0.99605625,0.00394375,0.97564757,0.02435243,292,0
3FGL J0031.3+0724,-32.046529,-27.84750982,1.8239038,0.058490487,3.497018128,-0.961872399,0.872347007,-0.760217884,0.19281759,-55.11534,AGN,bcu,4521.002,PowerLaw,NVSS J003119+072456,0.999332976,6.67E-04,0.989766659,0.010233341,0.997591695,0.002408305,0.982632124,0.017367876,294,0
3FGL J0032.3-2852,-30.02820248,-28.09720326,2.1895173,-4.199546357,3.638035585,-0.351261112,-0.689113684,-0.551330558,-0.399522967,-85.441284,AGN,bll,1646.3562,PowerLaw,PMN J0032-2849,0.999838323,1.62E-04,0.991592666,0.008407334,0.999999955,4.50E-08,0.993148102,0.006851898,290,0
3FGL J0033.6-1921,-28.40934086,-26.68445448,1.7147852,0.717210473,4.168584466,-0.478698322,-0.313661775,-0.311244387,-0.358970865,-81.22408,AGN,bll,2398.1309,PowerLaw,KUV 00311-1938,0.998779148,0.001220852,0.98555983,0.01444017,0.988783277,0.011216723,0.984735313,0.015264687,321,0
3FGL J0035.2+1513,-30.09136162,-27.31476026,1.8063989,0.515180308,3.965037321,-0.619532457,-0.161601058,-0.410343009,-0.347993991,-47.467373,AGN,bll,3166.7546,PowerLaw,RX J0035.2+1515,0.999812534,1.87E-04,0.986907428,0.013092572,0.990915205,0.009084795,0.997086142,0.002913858,317,0
3FGL J0035.9+5949,-28.80694467,-26.95837026,1.897775,-0.225809552,4.242026076,-0.304539978,-0.650992612,-0.34293222,-0.373113405,-2.981383,AGN,bll,2967.5896,PowerLaw,1ES 0033+595,0.999676755,3.23E-04,0.97036768,0.02963232,0.999428281,5.72E-04,0.99641421,0.00358579,269,0
3FGL J0037.9+1239,-28.29220288,-27.56070376,2.1514816,-0.33270379,4.196203856,-0.56274702,-0.678579578,-0.465013727,-0.598496933,-50.084618,AGN,bll,1387.6769,PowerLaw,NVSS J003750+123818,0.999937409,6.26E-05,0.991327182,0.008672818,0.99933487,6.65E-04,0.998603667,0.001396333,307,0
3FGL J0038.0+0012,-29.2967737,-27.83224081,2.1565473,-0.36067063,3.507572782,-0.350721963,-0.716379819,-0.337127589,-0.667029535,-62.474567,AGN,bll,1550.1482,PowerLaw,NVSS J003808+001336,0.999909296,9.07E-05,0.990250276,0.009749724,0.997366206,0.002633794,0.995948838,0.004051162,314,0
3FGL J0038.0-2501,-27.25212739,-27.88116132,2.43891,0.603063708,4.667927121,-0.669426513,-0.671419095,-0.738779691,-0.876557126,-86.33264,AGN,fsrq,733.78314,PowerLaw,PKS 0035-252,0.999788879,2.11E-04,0.985339532,0.014660468,0.991479598,0.008520402,0.98686561,0.01313439,290,0
3FGL J0039.0-2218,-32.45870305,-27.90584283,1.7153648,0.988494475,3.599203293,0.96419663,-0.543848945,-0.212505221,-0.524198841,-84.41313,AGN,bcu,5052.5894,PowerLaw,PMN J0039-2220,0.999251977,7.48E-04,0.957192327,0.042807673,0.935866969,0.064133031,0.984587771,0.015412229,327,0
3FGL J0039.1+4330,-30.74367641,-27.87815023,1.9628744,0.616896445,3.567616778,-0.789625944,-0.136783408,-0.557159006,-0.46245255,-19.31416,AGN,bcu,2760.5237,PowerLaw,NVSS J003907+433015,0.999663297,3.37E-04,0.961389874,0.038610126,0.946522169,0.053477831,0.996203351,0.003796649,300,0
3FGL J0039.1-0939,-27.1493875,-27.87392199,2.5939708,0.908096047,3.83823792,-0.411264825,-0.835268242,-0.925210057,-0.999679366,-72.28967,AGN,fsrq,568.70325,PowerLaw,TXS 0036-099,0.992078837,0.007921163,0.89934811,0.10065189,0.738035092,0.261964908,0.93223164,0.06776836,297,0
3FGL J0040.3+4049,-35.40267576,-27.70004927,1.1322582,0.319675675,3.410292892,-0.726658322,-0.760773846,-0.405176319,0.327153234,-22.005041,AGN,bcu,37201.97,PowerLaw,B3 0037+405,0.991873131,0.008126869,0.979717234,0.020282766,0.982387556,0.017612444,0.804242921,0.195757079,312,0
3FGL J0040.5-2339,-31.488284,-28.05785513,1.9462218,0.324038182,3.896885895,0.985893289,-0.635824969,-0.63174011,-0.043982622,-85.74683,AGN,bcu,3011.39,PowerLaw,PMN J0040-2340,0.999854,1.46E-04,0.989202086,0.010797914,0.998162756,0.001837244,0.986673547,0.013326453,289,0
3FGL J0041.9+3639,-31.66628945,-27.9678952,1.9757644,-2.118116426,3.423049248,0.99984805,-0.944320689,-0.165152943,0.040496645,-26.171455,AGN,bll,3549.2144,PowerLaw,RX J0042.0+3641,0.999885124,1.15E-04,0.992006682,0.007993318,0.999997727,2.27E-06,0.992633645,0.007366355,288,0
3FGL J0042.0+2318,-28.53560722,-27.81286971,2.3544266,0.387006593,3.955882558,-0.577199007,-0.726099294,-0.50334863,-0.999971566,-39.516415,AGN,fsrq,1085.7772,PowerLaw,PKS 0039+230,0.999608191,3.92E-04,0.981341005,0.018658995,0.97060639,0.02939361,0.97561142,0.02438858,324,0
3FGL J0043.5-0444,-32.62819591,-27.78467797,1.7345864,-3.755266253,3.696643486,-0.881483737,-0.289274144,-0.260989581,-0.177278185,-67.533,AGN,bcu,6492.1416,PowerLaw,1RXS J004333.7-044257,0.999870381,1.30E-04,0.991321189,0.008678811,0.99999989,1.10E-07,0.995751784,0.004248216,293,0
3FGL J0043.7-1117,-32.35211548,-27.55253143,1.5937259,0.748916836,3.319824696,-0.999854687,0.999275968,-0.292106915,-0.36779637,-74.05682,AGN,bcu,6018.865,PowerLaw,1RXS J004349.3-111612,0.999840437,1.60E-04,0.963930321,0.036069679,0.929037985,0.070962015,0.993901415,0.006098585,273,0
3FGL J0043.8+3425,-27.83587171,-27.34399336,2.0446968,-0.932018391,4.654838583,-0.432409798,-0.618498625,-0.413579651,-0.598304061,-28.41628,AGN,fsrq,1432.6361,PowerLaw,GB6 J0043+3426,0.999965065,3.49E-05,0.991498145,0.008501855,0.999945815,5.42E-05,0.99777934,0.00222066,312,0
3FGL J0045.2-3704,-26.0631481,-27.91782784,2.542837,-0.642320881,5.157599585,-0.657116888,-0.734699582,-0.660355779,-0.852533302,-79.96312,AGN,bcu,509.48514,PowerLaw,PKS 0042-373,0.999976926,2.31E-05,0.990351135,0.009648865,0.999963358,3.66E-05,0.993433355,0.006566645,306,0
3FGL J0045.3+2126,-29.00232086,-27.2695065,1.89904,0.535339489,4.085800045,-0.578409296,-0.540925806,-0.296415459,-0.543390976,-41.403828,AGN,bll,2334.118,PowerLaw,GB6 J0045+2127,0.999828661,1.71E-04,0.986995121,0.013004879,0.989614973,0.010385027,0.997680514,0.002319486,321,0
3FGL J0045.7+1217,-29.22583075,-27.43018076,1.9597332,0.12572087,3.990176114,-0.098986244,-0.476036462,-0.504620423,-0.556359964,-50.559357,AGN,bll,2168.2095,PowerLaw,GB6 J0045+1217,0.999813605,1.86E-04,0.989355047,0.010644953,0.995276262,0.004723738,0.997648111,0.002351889,320,0
3FGL J0046.7-8419,-25.70014023,-27.64220098,2.8206205,-0.434945877,4.142872994,-0.703688092,-0.68903266,-0.84782763,-0.999944815,-32.807045,AGN,fsrq,395.72586,PowerLaw,PKS 0044-84,0.999821996,1.78E-04,0.990057074,0.009942926,0.997986212,0.002013788,0.987185448,0.012814552,292,0
3FGL J0047.0+5658,-27.32162516,-27.36183036,2.22425,0.360219245,4.309972475,-0.667112027,-0.566173606,-0.510030321,-0.764440144,-5.8951225,AGN,bll,1172.4714,PowerLaw,GB6 J0047+5657,0.999010202,9.90E-04,0.957843519,0.042156481,0.992454706,0.007545294,0.995242492,0.004757508,296,4
3FGL J0047.9+5447,-34.59836049,-27.66536777,1.3335099,-0.305934302,3.39750775,0.966020177,-0.74059564,-0.57030539,0.537221397,-8.071238,AGN,bcu,21680.848,PowerLaw,1RXS J004754.5+544758,0.999587731,4.12E-04,0.975848866,0.024151134,0.999217513,7.82E-04,0.966017004,0.033982996,324,0
3FGL J0048.0+2236,-27.1819752,-27.59816717,2.33307,0.965056629,5.483392379,-0.428990101,-0.707750181,-0.594473584,-0.849520392,-40.264175,AGN,fsrq,908.46466,PowerLaw,NVSS J004802+223525,0.999872035,1.28E-04,0.987404914,0.012595086,0.996939229,0.003060771,0.986332191,0.013667809,315,0
3FGL J0048.0+3950,-30.77997061,-27.64456786,1.8768142,-1.524023076,4.210118767,-0.484036243,-0.524301672,-0.5121685,-0.157812219,-23.023993,AGN,bll,3476.9182,PowerLaw,B3 0045+395,0.999937837,6.22E-05,0.991588251,0.008411749,0.999989179,1.08E-05,0.998741502,0.001258498,295,0
3FGL J0049.4-4149,-30.59896865,-28.03165458,2.1545312,-0.4255341,3.459726256,-0.71689362,-0.84262422,-0.208316804,-0.189250456,-75.29762,AGN,bcu,2240.492,PowerLaw,1RXS J004939.9-415133,0.999927413,7.26E-05,0.991461121,0.008538879,0.999590977,4.09E-04,0.995546994,0.004453006,328,0
3FGL J0049.4-5401,-29.96358682,-28.06163646,2.1434119,-1.954899109,3.805895195,-0.696883111,-0.637135218,-0.499682885,-0.345717804,-63.103218,AGN,bcu,1746.9349,PowerLaw,PMN J0049-5402,0.999951894,4.81E-05,0.991759438,0.008240562,0.999991611,8.39E-06,0.998111166,0.001888834,315,0
3FGL J0049.7+0237,-27.69445539,-27.68969548,2.2440412,0.01844445,4.477112414,-0.594381336,-0.647715291,-0.456055271,-0.757359225,-60.24447,AGN,bll,1022.2843,PowerLaw,PKS 0047+023,0.999981935,1.81E-05,0.990342492,0.009657508,0.998864053,0.001135947,0.997329477,0.002670523,337,0
3FGL J0049.8-5737,-27.9290249,-27.84687707,2.4621935,-0.114525766,3.941393576,-0.77740244,-0.685855923,-0.685317495,-0.291872088,-59.50251,AGN,fsrq,938.1754,PowerLaw,PKS 0047-579,0.999912043,8.80E-05,0.991022078,0.008977922,0.999100158,9.00E-04,0.99240681,0.00759319,302,0
3FGL J0050.0-4458,-27.68364814,-28.05023865,2.5278618,-0.60357708,4.227215424,-0.722253491,-0.527455499,-0.63016457,-0.999950155,-72.15446,AGN,bcu,693.9973,PowerLaw,PMN J0049-4457,0.999690971,3.09E-04,0.991806065,0.008193935,0.999402621,5.97E-04,0.964766936,0.035233064,306,0
3FGL J0050.4-0449,-27.40560072,-27.65559284,2.449884,-0.350498259,4.141654107,-0.549710465,-0.705605035,-0.632910844,-0.924294953,-67.70284,AGN,fsrq,823.89746,PowerLaw,PKS 0047-051,0.998150843,0.001849157,0.990386441,0.009613559,0.998181619,0.001818381,0.981912376,0.018087624,312,0
3FGL J0050.6-0929,-26.29613111,-27.03941697,2.0930758,0.225407147,5.742705002,-0.467293989,-0.587401878,-0.548819222,-0.543507508,-72.355736,AGN,BLL,1023.0648,PowerLaw,PKS 0048-09,0.999966185,3.38E-05,0.991009437,0.008990563,0.999910796,8.92E-05,0.996895344,0.003104656,300,0
3FGL J0051.2-6241,-30.10276608,-27.09779155,1.663153,0.606664573,3.915655002,-0.661922229,-0.30001264,-0.222515857,-0.299425319,-54.44019,AGN,bcu,3901.6074,PowerLaw,1RXS J005117.7-624154,0.999635985,3.64E-04,0.986723367,0.013276633,0.988871461,0.011128539,0.995512724,0.004487276,304,0
3FGL J0054.8-2455,-29.93359861,-27.31409735,1.7780507,0.428167514,3.854035884,0.925061074,-0.459121109,-0.300588613,-0.50298522,-87.66247,AGN,bll,2908.0095,PowerLaw,FRBA J0054-2455,0.999704841,2.95E-04,0.985576275,0.014423725,0.992386248,0.007613752,0.99710473,0.00289527,270,0
3FGL J0055.2-1213,-28.70459893,-27.9611396,2.396758,-0.503640879,4.231076847,-0.535220184,-0.744959328,-0.65583418,-0.433280916,-75.07811,AGN,bcu,996.72266,PowerLaw,TXS 0052-125,0.995851378,0.004148622,0.991061042,0.008938958,0.999809991,1.90E-04,0.992100726,0.007899274,287,0
3FGL J0056.3-0935,-30.98873103,-27.48545812,1.7902223,-0.077478739,4.016813271,0.900278198,-0.470998399,-0.420360695,-0.143503202,-72.42695,AGN,bll,4041.2075,PowerLaw,TXS 0053-098,0.999873958,1.26E-04,0.989781329,0.010218671,0.999535576,4.64E-04,0.997797805,0.002202195,290,0
3FGL J0056.3-2116,-30.17991471,-27.46420354,1.8079817,0.50269502,4.094566871,0.033073448,-0.292620307,-0.423264966,-0.403767176,-84.047516,AGN,bll,2856.4712,PowerLaw,PMN J0056-2117,0.999814155,1.86E-04,0.986857302,0.013142698,0.994485378,0.005514622,0.997450868,0.002549132,278,0
3FGL J0057.9-0542,-28.7267717,-27.71410407,2.4153802,-0.983677706,3.771504379,-0.523015,-0.713244239,-0.667961008,-0.689409593,-68.5243,AGN,fsrq,1120.5619,PowerLaw,PKS 0055-059,0.998902494,0.001097506,0.991344146,0.008655854,0.999594552,4.05E-04,0.981266245,0.018733755,289,1
3FGL J0058.0-3233,-27.78455357,-27.50302358,2.0583463,0.974034106,4.15874573,-0.447945581,-0.478167993,-0.604537231,-0.575826483,-84.37602,AGN,bll,1224.3329,PowerLaw,PKS 0055-328,0.999626605,3.73E-04,0.970743258,0.029256742,0.95754257,0.04245743,0.99410091,0.00589909,290,0
3FGL J0058.3+3315,-27.48429444,-27.81532492,2.407292,0.279235147,4.725769696,-0.697803458,-0.578269455,-0.698669244,-0.931066529,-29.582802,AGN,fsrq,789.63855,PowerLaw,MG3 J005830+3311,0.996948129,0.003051871,0.988950479,0.011049521,0.996358511,0.003641489,0.960668906,0.039331094,315,0
3FGL J0059.1-5701,-26.29956448,-27.78543588,2.6164255,0.959044926,4.164633083,-0.473880512,-0.736968077,-0.852584629,-0.999987512,-60.07471,AGN,bcu,552.15875,PowerLaw,PKS 0056-572,0.999646908,3.53E-04,0.931188846,0.068811154,0.878562104,0.121437896,0.976361627,0.023638373,302,4
3FGL J0059.2-0152,-32.40630358,-27.74082066,1.7376362,-0.323688873,3.616808905,-0.38607672,-0.865773711,0.108295317,-0.232008897,-64.685646,AGN,bll,6121.983,PowerLaw,1RXS J005916.3-015030,0.999935615,6.44E-05,0.990789954,0.009210046,0.99955324,4.47E-04,0.996165283,0.003834717,272,0
3FGL J0059.6+0003,-28.06699695,-27.80890991,2.48396,0.561416109,3.954546489,-0.595559994,-0.694019618,-0.742273959,-0.878850432,-62.748528,AGN,fsrq,818.2782,PowerLaw,PKS 0056-00,0.997815638,0.002184362,0.976836309,0.023163691,0.954882992,0.045117008,0.971146154,0.028853846,320,0
3FGL J0100.2+0745,-29.14015592,-27.04094962,1.7965821,1.245670131,4.51627908,-0.143823385,-0.308518697,-0.375455675,-0.437396636,-55.039944,AGN,bll,2650.7144,PowerLaw,GB6 J0100+0745,0.999872889,1.27E-04,0.976841918,0.023158082,0.974706335,0.025293665,0.969539187,0.030460813,314,0
