GLON,GLAT,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,hr34,hr45,hr56,hr67,Variability_Index,Pivot_Energy,CLASS2,CLASS1,Source_Name,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags,Source_Name,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times in Testing
107.72407,-46.6767,-21.839752589066723,2.1995182,0.14485562,0.042718746,0.6488417,0.11470551,-0.77437603,0.0014510113,-0.44943303,-0.58016366,-0.50578916,-0.9999596,2.0654238615385623,7.448501464789423,AGN,bcu,4FGL J0008.4+1455,PowerLaw,0.07194004,0.27068996,3FGL J0008.3+1456,NVSS J000825+145635,0.9917855,0.0,0,4FGL J0008.4+1455,0.9997753579809363,0.00022464201906410213,0.9966243470480194,0.0033756529519807722,0.9957739352263898,0.004226064773610875,0.9975006291450024,0.002499370854997836,301
50.26514,-79.690834,-22.355711251969847,1.6839513,0.2182928,0.16281697,1.8402169,0.97582525,-0.7381555,8.03355E-4,-0.276594,-0.3899644,0.14149071,-0.75949216,2.3594171857188355,8.713436505929941,AGN,bll,4FGL J0008.4-2339,PowerLaw,0.10865318,0.33615676,3FGL J0008.6-2340,RBS 0016,0.9926684,0.91516817,0,4FGL J0008.4-2339,0.9985263160128741,0.001473683987126618,0.9970927700166653,0.0029072299833347638,0.9997639895038128,0.00023601049618730615,0.9921737894302398,0.007826210569760236,303
104.480736,-54.868298,-21.500536073392464,2.1171386,0.09896444,0.04512154,0.9813813,0.99918073,0.16351931,7.112969E-4,-0.6908289,-0.42011616,-0.6028625,-0.49038437,2.4239561460871673,7.534822003567095,AGN,bll,4FGL J0009.1+0628,PowerLaw,0.048880115,0.1527919,3FGL J0009.1+0630,TXS 0006+061,0.9931449,0.86640173,0,4FGL J0009.1+0628,0.9991017184227861,0.0008982815772143901,0.9962806439406436,0.0037193560593570558,0.9892847414040902,0.010715258595910295,0.9975617493619184,0.0024382506380811854,281
116.12437,-11.803588,-19.689923955558285,1.987031,0.035371866,0.06981315,4.3845778,0.21764593,-0.44758025,2.4473228E-4,-0.49609715,-0.4564068,-0.6103414,-0.5451608,4.883537310710062,7.178182641437901,AGN,bll,4FGL J0009.3+5030,LogParabola,0.015831562,0.047521435,3FGL J0009.3+5030,NVSS J000922+503028,0.9999694,0.92810774,0,4FGL J0009.3+5030,0.9998058146375863,0.0001941853624131927,0.9938430002183878,0.006156999781612267,0.9971326795913182,0.002867320408682597,0.9985350910563372,0.001464908943662815,291
0.6727207,-79.58928,-22.41924878301737,2.1981528,0.1775985,0.075799,0.8613283,-0.99999344,0.99998164,0.0016643126,-0.5080589,-0.7994823,-0.15733007,-0.9999585,2.7771410800746823,7.441626618484626,AGN,rdg,4FGL J0009.7-3217,PowerLaw,0.09984529,0.29060018,3FGL J0009.6-3211,IC 1531,0.99067837,0.94048434,0,4FGL J0009.7-3217,0.9992169564166891,0.0007830435833111881,0.9930764937940124,0.006923506205987546,0.9995848050169214,0.00041519498307878306,0.970739912083827,0.029260087916173287,321
327.77505,-71.76617,-22.255112001886403,2.145199,0.11915045,-0.040844724,0.7269835,0.9976258,-0.7498374,7.1471167E-4,-0.57202005,-0.5466139,-0.20197983,-0.99989754,2.4608318233118722,7.580493608529432,AGN,bll,4FGL J0009.8-4317,PowerLaw,0.048107337,0.20885147,,SUMSS J000949-431654,0.99851024,0.9318478,0,4FGL J0009.8-4317,0.9998644059987809,0.0001355940012197003,0.9975168805983727,0.0024831194016268635,0.9999096428465387,9.035715346224858e-05,0.9991988886935724,0.000801111306427475,295
110.21874,-41.12827,-22.56390599422617,2.316534,0.3254802,0.21123806,1.5020043,0.99960864,-0.5378855,0.005072495,-0.702886,-0.521426,-0.99986005,-0.99290526,2.952934460973768,7.169899519246078,AGN,fsrq,4FGL J0010.6+2043,PowerLaw,0.18496026,0.63602114,,TXS 0007+205,0.96985173,0.0,0,4FGL J0010.6+2043,0.9997564543552377,0.00024354564476216503,0.9948651308145786,0.00513486918542188,0.9840926338526672,0.015907366147332857,0.9821671429555787,0.017832857044422022,317
10.263708,-80.482315,-21.824723731359644,2.4291213,0.109506525,0.10359336,1.7034289,0.90000385,-0.50310785,0.0022344782,-0.6358786,-0.8608819,-0.6418626,-0.9999945,4.362206219286145,6.682492483655819,AGN,fsrq,4FGL J0010.6-3025,PowerLaw,0.07065257,0.20601568,,PKS 0008-307,0.99674195,0.9643442,0,4FGL J0010.6-3025,0.9998653039588665,0.00013469604113366756,0.9960545433155769,0.003945456684423247,0.9994045467431446,0.0005954532568544144,0.9829130758037344,0.01708692419626555,302
60.28118,-79.400505,-22.976641199276262,2.4946294,0.19624367,-0.034287505,0.3283757,0.98301333,-0.41385394,0.001863804,-0.6621985,-0.7733015,-0.55652726,-0.19732912,2.3399712907956634,6.794007465853339,AGN,bcu,4FGL J0010.8-2154,PowerLaw,0.08828161,0.2913024,,PKS 0008-222,0.9900694,0.95401853,0,4FGL J0010.8-2154,0.9995588498683585,0.00044115013164174835,0.9964301323501523,0.003569867649847498,0.9991977796474838,0.0008022203525163676,0.9934938942657795,0.006506105734220289,307
102.407234,-60.302692,-21.466768121906085,2.3197815,0.11698573,0.055365816,0.9152117,-0.40855178,-0.6915806,0.0018534434,-0.6581666,-0.46316186,-0.8582718,-0.92524153,4.373405172451942,7.096469359985797,AGN,fsrq,4FGL J0011.4+0057,PowerLaw,0.064857274,0.2408841,2FGL J0011.3+0054,RX J0011.5+0058,0.99867564,0.9197632,0,4FGL J0011.4+0057,0.9998856141067402,0.0001143858932601808,0.9987465408438236,0.0012534591561765016,0.9994893805645185,0.0005106194354814178,0.9957965223046272,0.004203477695373307,296
