Source_Name_3FGL,Flux_Density_log,Unc_Energy_Flux100_log,Spec_index,signif_curv_log,variability_index__log,hr12,hr23,hr34,hr45,GLAT_3FGL,Category_3FGL,Class_3FGL,Pivot_Energy,Spectrum Type,Assoc1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,TimesinTraining,GLON_3FGL,Flags_3FGL,Category_Prob
3FGL J0001.2-0748,-28.353826,-27.6869849,2.1493483,0.641978984,3.90677351,-0.324667683,-0.599118156,-0.425146785,-0.908887539,-67.32425,AGN,bll,1263.8359,PowerLaw,PMN J0001-0746,0.977748326,0.022251674,0.972509204,0.027490796,0.95280988,0.04719012,0.847166506,0.152833494,303,89.0222,0,AGN
3FGL J0002.2-4152,-30.2450406,-28.0296727,2.0889208,-1.60807574,4.03160096,-0.807390796,-0.738067109,0.067455621,-0.580624315,-72.14272,AGN,bcu,1956.0415,PowerLaw,1RXS J000135.5-415519,0.999964827,3.52e-05,0.991626534,0.008373466,0.999993135,6.87e-06,0.999402352,0.000598,289,334.0701,0,AGN
3FGL J0003.2-5246,-31.5436588,-27.907395,1.8952075,-0.09545067,3.81287508,-0.999748774,0.991051089,-0.397129256,-0.454391092,-62.824707,AGN,bcu,3676.2268,PowerLaw,RBS 0006,0.9999565,4.35e-05,0.989636374,0.010363626,0.998495659,0.001504341,0.998079496,0.001920504,292,318.97614,0,AGN
3FGL J0003.8-1151,-30.7511429,-27.9731584,2.0235214,0.581936251,3.88139154,0.796120394,-0.389624007,-0.664556136,-0.449034661,-71.08423,AGN,bcu,2315.8784,PowerLaw,PMN J0004-1148,0.999578425,0.000422,0.983903571,0.016096429,0.986019256,0.013980744,0.976284478,0.023715522,309,84.43189,0,AGN
3FGL J0004.7-4740,-26.8768287,-27.8457427,2.4035163,0.607582212,4.72679167,-0.532141432,-0.698347124,-0.635800504,-0.999992715,-67.51865,AGN,fsrq,722.59973,PowerLaw,PKS 0002-478,0.998329323,0.001670677,0.985149107,0.014850893,0.991159133,0.008840867,0.965579091,0.034420909,297,323.81558,0,AGN
3FGL J0006.4+3825,-25.8193489,-27.598428,2.6171293,0.823317268,4.38779124,-0.727468421,-0.714511877,-0.884553713,-0.639908862,-23.613312,AGN,fsrq,496.52658,PowerLaw,S4 0003+38,0.999923384,7.66e-05,0.974518701,0.025481299,0.978406818,0.021593182,0.987999054,0.012000946,299,113.33189,0,AGN
3FGL J0008.0+4713,-28.1962982,-27.2371429,2.0209966,0.92186807,3.60314383,-0.128631386,-0.519058466,-0.418792941,-0.633187401,-15.002618,AGN,bll,1875.706,PowerLaw,MG4 J000800+4712,0.974083938,0.025916062,0.894252209,0.105747791,0.867692582,0.132307418,0.881423735,0.118576265,293,115.33255,0,AGN
3FGL J0008.6-2340,-32.7602046,-27.6848638,1.5989343,-0.1639293,3.857546,0.032599993,0.999570207,-0.739576457,0.416237882,-79.75257,AGN,bll,7424.89,PowerLaw,RBS 0016,0.999344276,0.000656,0.98968812,0.01031188,0.999747874,0.000252,0.991350568,0.008649432,316,50.280113,0,AGN
3FGL J0009.1+0630,-29.0152069,-27.7109196,2.1793637,-0.996861512,4.11671714,-0.513312783,-0.599315647,-0.541871893,-0.517110066,-54.84626,AGN,bll,1548.9703,PowerLaw,CRATES J000903.95+062821.5,0.999947018,5.3e-05,0.992432978,0.007567022,0.999897471,0.000103,0.997150353,0.002849647,312,104.4891,0,AGN
3FGL J0009.3+5030,-27.5358079,-26.9785278,1.9286355,0.759633273,4.59952367,-0.531442468,-0.471129138,-0.403181438,-0.563149301,-11.803292,AGN,bll,1656.9579,PowerLaw,NVSS J000922+503028,0.999820256,0.00018,0.973935159,0.026064841,0.991776267,0.008223733,0.991884881,0.008115119,290,116.11642,0,AGN
3FGL J0009.6-3211,-28.8002771,-28.0248004,2.3097298,0.027075917,3.75029336,-0.596740735,-0.623579577,-0.703260285,-0.637021066,-79.601845,AGN,bcu,1069.8146,PowerLaw,IC 1531,0.999671253,0.000329,0.987087086,0.012912914,0.992552953,0.007447047,0.963871414,0.036128586,314,1.2516652,1,AGN
3FGL J0012.4+7040,-28.2276076,-27.2959122,2.4837499,-1.56607694,3.94305431,-0.59534088,-0.869545042,-0.568573316,-0.441835598,8.046483,AGN,bcu,1066.8414,PowerLaw,TXS 0008+704,0.99990249,9.75e-05,0.990419888,0.009580112,0.999970277,2.97e-05,0.991044097,0.008955903,301,119.68739,8,AGN
3FGL J0013.2-3954,-28.223898,-27.8588636,2.2117834,-1.88502292,4.01147139,-0.564600305,-0.626851708,-0.586269932,-0.350811907,-74.96217,AGN,bll,1139.5116,PowerLaw,PKS 0010-401,0.999888848,0.000111,0.991940917,0.008059083,0.999993781,6.22e-06,0.99306941,0.00693059,299,332.3238,0,AGN
3FGL J0013.9-1853,-31.1458156,-27.9947326,1.9351506,0.486400709,3.59618299,0.99911541,0.342174432,-0.420619201,-0.836871206,-78.0784,AGN,bll,2844.402,PowerLaw,RBS 0030,0.983623974,0.016376026,0.968098623,0.031901377,0.971576933,0.028423067,0.916823261,0.083176739,314,74.62692,0,AGN
3FGL J0014.0-5025,-31.1621834,-28.0085523,1.9238772,0.371497968,3.83681301,-0.739192463,-0.278573801,-0.630847604,-0.448877519,-65.633064,AGN,bll,2914.0332,PowerLaw,RBS 0032,0.999773096,0.000227,0.985795604,0.014204396,0.98470984,0.01529016,0.995154677,0.004845323,297,317.4511,0,AGN
3FGL J0014.6+6119,-31.2411051,-27.3197198,1.8874854,0.888861568,3.92760936,0.955237768,-0.084374271,-0.277528749,-0.458452091,-1.2385842,AGN,bcu,5187.997,PowerLaw,4C +60.01,0.997927758,0.002072242,0.876973645,0.123026355,0.981199054,0.018800946,0.984684105,0.015315895,309,118.53034,0,AGN
3FGL J0014.7+5802,-32.0224643,-27.5716737,1.9128166,-0.3954289,3.67655558,0.923888966,0.82992441,-0.538831261,-0.539200917,-4.4827323,AGN,bll,5677.0996,PowerLaw,1RXS J001442.2+580201,0.999392515,0.000607,0.964800473,0.035199527,0.998600201,0.001399799,0.996933516,0.003066484,309,118.07528,0,AGN
3FGL J0015.7+5552,-30.6519148,-27.5650533,2.1145282,0.042450492,3.62892606,-0.612040553,-0.708852423,-0.58331449,-0.588342847,-6.6486773,AGN,bcu,3002.9968,PowerLaw,GB6 J0015+5551,0.999741781,0.000258,0.961798432,0.038201568,0.984687565,0.015312435,0.996647191,0.003352809,304,117.90898,0,AGN
3FGL J0016.3-0013,-25.5007332,-27.7121846,2.6178546,1.22716597,5.0309504,-0.616784239,-0.795090013,-0.908771878,-0.355854503,-61.808758,AGN,fsrq,449.44128,PowerLaw,S3 0013-00,0.999988008,1.2e-05,0.9860668,0.0139332,0.994239146,0.005760854,0.984107769,0.015892231,312,104.078606,0,AGN
3FGL J0017.2-0643,-29.8271395,-27.8091679,2.1161962,-0.053335694,3.62139184,0.031875911,-0.167553473,-0.69133399,-0.771387465,-68.03635,AGN,bcu,1905.9727,PowerLaw,PMN J0017-0650,0.997685206,0.002314794,0.986874565,0.013125435,0.987839606,0.012160394,0.963420844,0.036579156,323,99.66854,0,AGN
3FGL J0017.6-0512,-27.0753891,-27.3903535,2.50629,0.61752695,5.43845215,-0.651864181,-0.716061772,-0.813044896,-0.500378042,-66.64299,AGN,FSRQ,861.1856,PowerLaw,PMN J0017-0512,0.999978241,2.18e-05,0.990832314,0.009167686,0.999448811,0.000551,0.985633891,0.014366109,308,101.25842,0,AGN
3FGL J0018.4+2947,-32.1950904,-27.9788071,1.8645151,-2.43056546,4.03071199,0.884908636,-0.839906357,-0.166074473,-0.173117601,-32.53204,AGN,bll,4720.1187,PowerLaw,RBS 0042,0.99995282,4.72e-05,0.992332027,0.007667973,0.999999655,3.45e-07,0.999252251,0.000748,317,114.43213,0,AGN
3FGL J0018.9-8152,-29.6022225,-27.6622817,2.0754406,-1.17116701,4.45029615,-0.658769818,-0.658890441,-0.518360336,-0.27289898,-35.163124,AGN,bll,2187.517,PowerLaw,PMN J0019-8152,0.999992596,7.4e-06,0.992350081,0.007649919,0.999984323,1.57e-05,0.999763934,0.000236,282,304.3301,0,AGN
3FGL J0019.1-5645,-28.756365,-28.0212093,2.3909311,-0.64464422,4.14085123,-0.882274398,-0.48227178,-0.598547156,-0.279748388,-59.82244,AGN,bcu,1088.913,PowerLaw,PMN J0019-5641,0.999930342,6.97e-05,0.991362318,0.008637682,0.99991767,8.23e-05,0.985164084,0.014835916,273,311.7315,0,AGN
3FGL J0019.4+2021,-29.5845041,-27.88706,2.2486298,-0.557360433,4.02142739,0.406755556,-0.863557532,-0.410481412,-0.530666251,-41.877808,AGN,bll,1529.8136,PowerLaw,PKS 0017+200,0.999955406,4.46e-05,0.991888952,0.008111048,0.999789141,0.000211,0.99710091,0.00289909,305,112.8436,0,AGN
3FGL J0021.6-2553,-28.9257567,-27.8048643,2.0992868,-1.74733161,4.27064698,-0.663635885,-0.479427086,-0.442544053,-0.601381609,-83.22444,AGN,bll,1520.3076,PowerLaw,CRATES J002132.55-255049.3,0.999956224,4.38e-05,0.991402552,0.008597448,0.999990704,9.3e-06,0.99875599,0.00124401,293,41.81136,0,AGN
3FGL J0021.6-6835,-27.010925,-27.9971022,2.6524696,-0.577948637,3.94837056,-0.653451758,-0.775366819,-0.749340352,-0.999916108,-48.299847,AGN,bcu,532.6547,PowerLaw,PKS 0021-686,0.999597254,0.000403,0.990572803,0.009427197,0.998117005,0.001882995,0.97871342,0.02128658,296,307.0121,256,AGN
3FGL J0022.1-1855,-29.689771,-27.3059323,1.7990181,0.89170234,4.21757054,0.958960662,-0.377814789,-0.258662286,-0.675488885,-79.38736,AGN,bll,2653.591,PowerLaw,1RXS J002209.2-185333,0.99960945,0.000391,0.978892803,0.021107197,0.983113598,0.016886402,0.994342368,0.005657632,303,82.03097,0,AGN
3FGL J0022.1-5141,-29.1126105,-27.6803655,1.9874318,0.539554936,4.08447983,0.31534628,-0.404154307,-0.697587316,-0.252967591,-64.82614,AGN,bll,1760.3436,PowerLaw,1RXS J002159.2-514028,0.999467199,0.000533,0.987843053,0.012156947,0.994319106,0.005680894,0.975279416,0.024720584,320,313.62024,0,AGN
3FGL J0022.5+0608,-27.2707295,-27.2297569,2.073243,0.898164642,4.5560374,-0.390619162,-0.581622799,-0.512979611,-0.606588703,-56.008762,AGN,bll,1265.673,PowerLaw,PKS 0019+058,0.999947107,5.29e-05,0.984064459,0.015935541,0.987155077,0.012844923,0.993977636,0.006022364,328,110.023605,0,AGN
3FGL J0023.5+4454,-26.725246,-27.7359435,2.5684931,-1.35564489,4.24438538,-0.748537858,-0.678308109,-0.773361581,-0.679655957,-17.68494,AGN,fsrq,620.3807,PowerLaw,B3 0020+446,0.999904535,9.55e-05,0.990827442,0.009172558,0.999942872,5.71e-05,0.995687097,0.004312903,299,117.74822,0,AGN
3FGL J0024.4+0350,-28.7230543,-27.7452758,2.2782264,1.01588757,4.31683724,-0.528792,-0.71047057,-0.741809322,-0.658294945,-58.350433,AGN,fsrq,1194.3387,PowerLaw,GB6 J0024+0349,0.996386023,0.003613977,0.970567541,0.029432459,0.945551632,0.054448368,0.954427795,0.045572205,295,110.02033,0,AGN
3FGL J0026.7-4603,-28.8529239,-28.0621604,2.450339,-1.04521367,4.04049115,-0.584864002,-0.7991077,-0.484040888,-0.75564025,-70.44581,AGN,bll,1009.74817,PowerLaw,1RXS J002636.3-460101,0.999984295,1.57e-05,0.991332731,0.008667269,0.999890894,0.000109,0.995335096,0.004664904,314,315.8166,1,AGN
3FGL J0028.6+7507,-28.3160291,-27.5998318,2.3414557,-0.89772588,3.63061221,-0.696194307,-0.617722011,-0.439170963,-0.962001779,12.313124,AGN,bcu,1172.9393,PowerLaw,GB6 J0028+7506,0.943001005,0.056998995,0.989443206,0.010556794,0.99842853,0.00157147,0.833413935,0.166586065,293,121.4367,0,AGN
3FGL J0028.8+1951,-27.5777405,-27.7955897,2.4336774,0.680839501,3.75054283,-0.704530255,-0.518921722,-0.95900621,0.035745992,-42.702084,AGN,bcu,761.7829,PowerLaw,TXS 0025+197,0.998494962,0.001505038,0.986990869,0.013009131,0.987020464,0.012979536,0.868744618,0.131255382,306,115.68266,256,AGN
3FGL J0029.1-7045,-28.3124208,-27.7588572,2.284518,-0.487918507,4.31071993,-0.763333389,-0.533356857,-0.500870624,-0.730750413,-46.258186,AGN,bll,1257.5558,PowerLaw,PKS 0026-710,0.999928471,7.15e-05,0.99094158,0.00905842,0.999607875,0.000392,0.993615462,0.006384538,297,305.581,0,AGN
3FGL J0030.2-1646,-31.7780677,-27.5618344,1.6471963,0.281945223,4.16352433,-0.987808381,0.999951193,-0.366078158,-0.412287328,-78.545784,AGN,bcu,5034.0356,PowerLaw,1RXS J003019.6-164723,0.999963256,3.67e-05,0.988287465,0.011712535,0.997404176,0.002595824,0.999196423,0.000804,286,96.52078,0,AGN
3FGL J0030.3-4223,-24.7129738,-27.7358203,2.5805273,0.410798262,5.13444452,-0.682959962,-0.713184392,-0.799454799,-0.747700388,-74.13968,AGN,fsrq,415.28687,PowerLaw,PKS 0027-426,0.999991663,8.34e-06,0.989152741,0.010847259,0.999084298,0.000916,0.995547442,0.004452558,296,317.30246,0,AGN
3FGL J0030.7-0209,-26.5874349,-27.676105,2.3780944,1.1432792,5.86039498,-0.576075182,-0.681310358,-0.696414396,-0.999978231,-64.54405,AGN,bcu,696.7064,PowerLaw,PKS B0027-024,0.999700699,0.000299,0.985855229,0.014144771,0.99605625,0.00394375,0.966914101,0.033085899,293,110.85923,0,AGN
3FGL J0031.3+0724,-32.046529,-27.8475098,1.8239038,0.058490487,3.49701813,-0.961872399,0.872347007,-0.760217884,0.19281759,-55.11534,AGN,bcu,4521.002,PowerLaw,NVSS J003119+072456,0.999332976,0.000667,0.989766659,0.010233341,0.997591695,0.002408305,0.984503624,0.015496376,295,114.18945,0,AGN
3FGL J0032.3-2852,-30.0282025,-28.0972033,2.1895173,-4.19954636,3.63803558,-0.351261112,-0.689113684,-0.551330558,-0.399522967,-85.441284,AGN,bll,1646.3562,PowerLaw,PMN J0032-2849,0.999838323,0.000162,0.991592666,0.008407334,0.999999955,4.5e-08,0.99256555,0.00743445,291,9.274878,0,AGN
3FGL J0033.6-1921,-28.4093409,-26.6844545,1.7147852,0.717210473,4.16858447,-0.478698322,-0.313661775,-0.311244387,-0.358970865,-81.22408,AGN,bll,2398.1309,PowerLaw,KUV 00311-1938,0.998779148,0.001220852,0.98555983,0.01444017,0.988783277,0.011216723,0.982252185,0.017747815,322,94.21208,0,AGN
3FGL J0035.2+1513,-30.0913616,-27.3147603,1.8063989,0.515180308,3.96503732,-0.619532457,-0.161601058,-0.410343009,-0.347993991,-47.467373,AGN,bll,3166.7546,PowerLaw,RX J0035.2+1515,0.999812534,0.000187,0.986907428,0.013092572,0.990915205,0.009084795,0.996758819,0.003241181,318,117.14552,0,AGN
3FGL J0035.9+5949,-28.8069447,-26.9583703,1.897775,-0.225809552,4.24202608,-0.304539978,-0.650992612,-0.34293222,-0.373113405,-2.981383,AGN,bll,2967.5896,PowerLaw,1ES 0033+595,0.999676755,0.000323,0.97036768,0.02963232,0.999428281,0.000572,0.996335601,0.003664399,270,120.98583,0,AGN
3FGL J0037.9+1239,-28.2922029,-27.5607038,2.1514816,-0.33270379,4.19620386,-0.56274702,-0.678579578,-0.465013727,-0.598496933,-50.084618,AGN,bll,1387.6769,PowerLaw,NVSS J003750+123818,0.999937409,6.26e-05,0.991327182,0.008672818,0.99933487,0.000665,0.998370079,0.001629921,308,117.78463,0,AGN
3FGL J0038.0+0012,-29.2967737,-27.8322408,2.1565473,-0.36067063,3.50757278,-0.350721963,-0.716379819,-0.337127589,-0.667029535,-62.474567,AGN,bll,1550.1482,PowerLaw,NVSS J003808+001336,0.999909296,9.07e-05,0.990250276,0.009749724,0.997366206,0.002633794,0.995145159,0.004854841,315,115.6973,0,AGN
3FGL J0038.0-2501,-27.2521274,-27.8811613,2.43891,0.603063708,4.66792712,-0.669426513,-0.671419095,-0.738779691,-0.876557126,-86.33264,AGN,fsrq,733.78314,PowerLaw,PKS 0035-252,0.999788879,0.000211,0.985339532,0.014660468,0.991479598,0.008520402,0.988556355,0.011443645,291,67.04554,0,AGN
3FGL J0039.0-2218,-32.458703,-27.9058428,1.7153648,0.988494475,3.59920329,0.96419663,-0.543848945,-0.212505221,-0.524198841,-84.41313,AGN,bcu,5052.5894,PowerLaw,PMN J0039-2220,0.999251977,0.000748,0.957192327,0.042807673,0.935866969,0.064133031,0.987035576,0.012964424,328,91.91121,0,AGN
3FGL J0039.1+4330,-30.7436764,-27.8781502,1.9628744,0.616896445,3.56761678,-0.789625944,-0.136783408,-0.557159006,-0.46245255,-19.31416,AGN,bcu,2760.5237,PowerLaw,NVSS J003907+433015,0.999663297,0.000337,0.961389874,0.038610126,0.946522169,0.053477831,0.993065281,0.006934719,301,120.57974,0,AGN
3FGL J0039.1-0939,-27.1493875,-27.873922,2.5939708,0.908096047,3.83823792,-0.411264825,-0.835268242,-0.925210057,-0.999679366,-72.28967,AGN,fsrq,568.70325,PowerLaw,TXS 0036-099,0.992078837,0.007921163,0.89934811,0.10065189,0.738035092,0.261964908,0.869763724,0.130236276,298,112.9142,0,AGN
3FGL J0040.3+4049,-35.4026758,-27.7000493,1.1322582,0.319675675,3.41029289,-0.726658322,-0.760773846,-0.405176319,0.327153234,-22.005041,AGN,bcu,37201.97,PowerLaw,B3 0037+405,0.991873131,0.008126869,0.979717234,0.020282766,0.982387556,0.017612444,0.982320199,0.017679801,313,120.66645,0,AGN
3FGL J0040.5-2339,-31.488284,-28.0578551,1.9462218,0.324038182,3.8968859,0.985893289,-0.635824969,-0.63174011,-0.043982622,-85.74683,AGN,bcu,3011.39,PowerLaw,PMN J0040-2340,0.999854,0.000146,0.989202086,0.010797914,0.998162756,0.001837244,0.992684945,0.007315055,290,87.170006,0,AGN
3FGL J0041.9+3639,-31.6662895,-27.9678952,1.9757644,-2.11811643,3.42304925,0.99984805,-0.944320689,-0.165152943,0.040496645,-26.171455,AGN,bll,3549.2144,PowerLaw,RX J0042.0+3641,0.999885124,0.000115,0.992006682,0.007993318,0.999997727,2.27e-06,0.995227287,0.004772713,289,120.8235,0,AGN
3FGL J0042.0+2318,-28.5356072,-27.8128697,2.3544266,0.387006593,3.95588256,-0.577199007,-0.726099294,-0.50334863,-0.999971566,-39.516415,AGN,fsrq,1085.7772,PowerLaw,PKS 0039+230,0.999608191,0.000392,0.981341005,0.018658995,0.97060639,0.02939361,0.949416374,0.050583626,325,120.14492,0,AGN
3FGL J0043.5-0444,-32.6281959,-27.784678,1.7345864,-3.75526625,3.69664349,-0.881483737,-0.289274144,-0.260989581,-0.177278185,-67.533,AGN,bcu,6492.1416,PowerLaw,1RXS J004333.7-044257,0.999870381,0.00013,0.991321189,0.008678811,0.99999989,1.1e-07,0.996881488,0.003118512,294,117.79628,0,AGN
3FGL J0043.7-1117,-32.3521155,-27.5525314,1.5937259,0.748916836,3.3198247,-0.999854687,0.999275968,-0.292106915,-0.36779637,-74.05682,AGN,bcu,6018.865,PowerLaw,1RXS J004349.3-111612,0.999840437,0.00016,0.963930321,0.036069679,0.929037985,0.070962015,0.995020299,0.004979701,274,116.04734,0,AGN
3FGL J0043.8+3425,-27.8358717,-27.3439934,2.0446968,-0.932018391,4.65483858,-0.432409798,-0.618498625,-0.413579651,-0.598304061,-28.41628,AGN,fsrq,1432.6361,PowerLaw,GB6 J0043+3426,0.999965065,3.49e-05,0.991498145,0.008501855,0.999945815,5.42e-05,0.996937358,0.003062642,313,121.159805,0,AGN
3FGL J0045.2-3704,-26.0631481,-27.9178278,2.542837,-0.642320881,5.15759958,-0.657116888,-0.734699582,-0.660355779,-0.852533302,-79.96312,AGN,bcu,509.48514,PowerLaw,PKS 0042-373,0.999976926,2.31e-05,0.990351135,0.009648865,0.999963358,3.66e-05,0.997383948,0.002616052,307,310.0371,0,AGN
3FGL J0045.3+2126,-29.0023209,-27.2695065,1.89904,0.535339489,4.08580005,-0.578409296,-0.540925806,-0.296415459,-0.543390976,-41.403828,AGN,bll,2334.118,PowerLaw,GB6 J0045+2127,0.999828661,0.000171,0.986995121,0.013004879,0.989614973,0.010385027,0.993356474,0.006643526,322,121.0586,0,AGN
3FGL J0045.7+1217,-29.2258308,-27.4301808,1.9597332,0.12572087,3.99017611,-0.098986244,-0.476036462,-0.504620423,-0.556359964,-50.559357,AGN,bll,2168.2095,PowerLaw,GB6 J0045+1217,0.999813605,0.000186,0.989355047,0.010644953,0.995276262,0.004723738,0.997814637,0.002185363,321,120.74098,0,AGN
3FGL J0046.7-8419,-25.7001402,-27.642201,2.8206205,-0.434945877,4.14287299,-0.703688092,-0.68903266,-0.84782763,-0.999944815,-32.807045,AGN,fsrq,395.72586,PowerLaw,PKS 0044-84,0.999821996,0.000178,0.990057074,0.009942926,0.997986212,0.002013788,0.981926864,0.018073136,293,303.0702,0,AGN
3FGL J0047.0+5658,-27.3216252,-27.3618304,2.22425,0.360219245,4.30997248,-0.667112027,-0.566173606,-0.510030321,-0.764440144,-5.8951225,AGN,bll,1172.4714,PowerLaw,GB6 J0047+5657,0.999010202,0.00099,0.957843519,0.042156481,0.992454706,0.007545294,0.97815436,0.02184564,297,122.33373,4,AGN
3FGL J0047.9+5447,-34.5983605,-27.6653678,1.3335099,-0.305934302,3.39750775,0.966020177,-0.74059564,-0.57030539,0.537221397,-8.071238,AGN,bcu,21680.848,PowerLaw,1RXS J004754.5+544758,0.999587731,0.000412,0.975848866,0.024151134,0.999217513,0.000782,0.99576279,0.00423721,325,122.42279,0,AGN
3FGL J0048.0+2236,-27.1819752,-27.5981672,2.33307,0.965056629,5.48339238,-0.428990101,-0.707750181,-0.594473584,-0.849520392,-40.264175,AGN,fsrq,908.46466,PowerLaw,NVSS J004802+223525,0.999872035,0.000128,0.987404914,0.012595086,0.996939229,0.003060771,0.967799953,0.032200047,316,121.908806,0,AGN
3FGL J0048.0+3950,-30.7799706,-27.6445679,1.8768142,-1.52402308,4.21011877,-0.484036243,-0.524301672,-0.5121685,-0.157812219,-23.023993,AGN,bll,3476.9182,PowerLaw,B3 0045+395,0.999937837,6.22e-05,0.991588251,0.008411749,0.999989179,1.08e-05,0.998712248,0.001287752,296,122.22112,0,AGN
3FGL J0049.4-4149,-30.5989686,-28.0316546,2.1545312,-0.4255341,3.45972626,-0.71689362,-0.84262422,-0.208316804,-0.189250456,-75.29762,AGN,bcu,2240.492,PowerLaw,1RXS J004939.9-415133,0.999927413,7.26e-05,0.991461121,0.008538879,0.999590977,0.000409,0.996998281,0.003001719,329,304.39722,0,AGN
3FGL J0049.4-5401,-29.9635868,-28.0616365,2.1434119,-1.95489911,3.8058952,-0.696883111,-0.637135218,-0.499682885,-0.345717804,-63.103218,AGN,bcu,1746.9349,PowerLaw,PMN J0049-5402,0.999951894,4.81e-05,0.991759438,0.008240562,0.999991611,8.39e-06,0.998953328,0.001046672,316,303.5892,0,AGN
3FGL J0049.7+0237,-27.6944554,-27.6896955,2.2440412,0.01844445,4.47711241,-0.594381336,-0.647715291,-0.456055271,-0.757359225,-60.24447,AGN,bll,1022.2843,PowerLaw,PKS 0047+023,0.999981935,1.81e-05,0.990342492,0.009657508,0.998864053,0.001135947,0.997010222,0.002989778,338,122.090866,0,AGN
3FGL J0049.8-5737,-27.9290249,-27.8468771,2.4621935,-0.114525766,3.94139358,-0.77740244,-0.685855923,-0.685317495,-0.291872088,-59.50251,AGN,fsrq,938.1754,PowerLaw,PKS 0047-579,0.999912043,8.8e-05,0.991022078,0.008977922,0.999100158,0.0009,0.987678705,0.012321295,303,303.3507,0,AGN
3FGL J0050.0-4458,-27.6836481,-28.0502387,2.5278618,-0.60357708,4.22721542,-0.722253491,-0.527455499,-0.63016457,-0.999950155,-72.15446,AGN,bcu,693.9973,PowerLaw,PMN J0049-4457,0.999690971,0.000309,0.991806065,0.008193935,0.999402621,0.000597,0.966485108,0.033514892,307,303.73032,0,AGN
3FGL J0050.4-0449,-27.4056007,-27.6555928,2.449884,-0.350498259,4.14165411,-0.549710465,-0.705605035,-0.632910844,-0.924294953,-67.70284,AGN,fsrq,823.89746,PowerLaw,PKS 0047-051,0.998150843,0.001849157,0.990386441,0.009613559,0.998181619,0.001818381,0.973253672,0.026746328,313,122.30691,0,AGN
3FGL J0050.6-0929,-26.2961311,-27.039417,2.0930758,0.225407147,5.742705,-0.467293989,-0.587401878,-0.548819222,-0.543507508,-72.355736,AGN,BLL,1023.0648,PowerLaw,PKS 0048-09,0.999966185,3.38e-05,0.991009437,0.008990563,0.999910796,8.92e-05,0.997085304,0.002914696,301,122.33088,0,AGN
3FGL J0051.2-6241,-30.1027661,-27.0977916,1.663153,0.606664573,3.915655,-0.661922229,-0.30001264,-0.222515857,-0.299425319,-54.44019,AGN,bcu,3901.6074,PowerLaw,1RXS J005117.7-624154,0.999635985,0.000364,0.986723367,0.013276633,0.988871461,0.011128539,0.995537349,0.004462651,305,302.96347,0,AGN
3FGL J0054.8-2455,-29.9335986,-27.3140974,1.7780507,0.428167514,3.85403588,0.925061074,-0.459121109,-0.300588613,-0.50298522,-87.66247,AGN,bll,2908.0095,PowerLaw,FRBA J0054-2455,0.999704841,0.000295,0.985576275,0.014423725,0.992386248,0.007613752,0.996266693,0.003733307,271,142.52641,0,AGN
3FGL J0055.2-1213,-28.7045989,-27.9611396,2.396758,-0.503640879,4.23107685,-0.535220184,-0.744959328,-0.65583418,-0.433280916,-75.07811,AGN,bcu,996.72266,PowerLaw,TXS 0052-125,0.995851378,0.004148622,0.991061042,0.008938958,0.999809991,0.00019,0.990018438,0.009981562,288,126.51033,0,AGN
3FGL J0056.3-0935,-30.988731,-27.4854581,1.7902223,-0.077478739,4.01681327,0.900278198,-0.470998399,-0.420360695,-0.143503202,-72.42695,AGN,bll,4041.2075,PowerLaw,TXS 0053-098,0.999873958,0.000126,0.989781329,0.010218671,0.999535576,0.000464,0.998425946,0.001574054,291,126.954124,0,AGN
3FGL J0056.3-2116,-30.1799147,-27.4642035,1.8079817,0.50269502,4.09456687,0.033073448,-0.292620307,-0.423264966,-0.403767176,-84.047516,AGN,bll,2856.4712,PowerLaw,PMN J0056-2117,0.999814155,0.000186,0.986857302,0.013142698,0.994485378,0.005514622,0.998146223,0.001853777,279,133.93503,0,AGN
3FGL J0057.9-0542,-28.7267717,-27.7141041,2.4153802,-0.983677706,3.77150438,-0.523015,-0.713244239,-0.667961008,-0.689409593,-68.5243,AGN,fsrq,1120.5619,PowerLaw,PKS 0055-059,0.998902494,0.001097506,0.991344146,0.008655854,0.999594552,0.000405,0.953778981,0.046221019,290,127.34853,1,AGN
3FGL J0058.0-3233,-27.7845536,-27.5030236,2.0583463,0.974034106,4.15874573,-0.447945581,-0.478167993,-0.604537231,-0.575826483,-84.37602,AGN,bll,1224.3329,PowerLaw,PKS 0055-328,0.999626605,0.000373,0.970743258,0.029256742,0.95754257,0.04245743,0.971224868,0.028775132,291,288.5636,0,AGN
3FGL J0058.3+3315,-27.4842944,-27.8153249,2.407292,0.279235147,4.7257697,-0.697803458,-0.578269455,-0.698669244,-0.931066529,-29.582802,AGN,fsrq,789.63855,PowerLaw,MG3 J005830+3311,0.996948129,0.003051871,0.988950479,0.011049521,0.996358511,0.003641489,0.932741049,0.067258951,316,124.59363,0,AGN
3FGL J0059.1-5701,-26.2995645,-27.7854359,2.6164255,0.959044926,4.16463308,-0.473880512,-0.736968077,-0.852584629,-0.999987512,-60.07471,AGN,bcu,552.15875,PowerLaw,PKS 0056-572,0.999646908,0.000353,0.931188846,0.068811154,0.878562104,0.121437896,0.923361611,0.076638389,303,300.81934,4,AGN
