0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
-27.44336439977435,-26.82138667219623,2.4333627,0.8235445422359445,3.867632923682284,-0.4257508117371484,-0.06099802049235512,-0.848115060638613,-0.932233611675554,0.8997268,PSR,3FGL J1151.8-6108,4FGL J1152.0-6107,178.0226,-61.1298,295.82898,0.92083925,,14.230726,1.6284806E-9,1.3903763E-10,1.1218363E-12,PLSuperExpCutoff,4.768647E-13,1.1955365,0.010511177,0.6666667,4.8734508,8.006764,PSR J1151-6108,,0,517,0.045528614253001295,0.9544713857469845,0.625869241713063,0.37413075828693654,0.7532320044579393,0.24676799554206155,0.6712268148982858,0.32877318510171477,1.0,0.149,0.025,0.0
-27.412102155646128,-27.408517849552997,2.368808,0.3841058138343895,4.006981414277414,-0.6427328754831881,-0.5944759155051361,-0.5776117467212585,-0.9639237828129406,16.150196,PSR,3FGL J1417.5-4402,4FGL J1417.6-4403,214.4146,-44.052,318.88647,16.132421,,20.561329,1.1165945E-9,8.2106974E-11,7.340005E-13,LogParabola,1.1875493E-12,1.3249617,0.00905375,0.6666667,5.589002,5.444543,PSR J1417-4402,,0,0,0.9741035952037028,0.025896404796284866,0.9807114249650543,0.01928857503494562,0.9681504890178152,0.03184951098218394,0.9249759730374572,0.07502402696254296,0.0,0.0,0.0,0.0
-28.820090365343635,-28.07216450143103,2.2550774,-0.6673139504284745,4.029878927317152,-0.4697215492388143,-0.5614494061739052,-0.6277301043622496,-0.8019788167563282,47.169643,PSR,3FGL J1553.1+5437,4FGL J1553.1+5438,238.2833,54.6413,85.60716,47.16823,,15.779888,4.4599785E-10,4.3483935E-11,3.0622092E-13,PLSuperExpCutoff,2.4012842E-13,0.90550894,0.009951062,0.6666667,4.939026,5.858849,PSR J1552+5437,,0,0,0.9991287868801069,0.0008712131198719578,0.9950756678020533,0.0049243321979465455,0.9991536047854226,0.0008463952145776824,0.982941917075784,0.01705808292421536,0.0,0.0,0.0,0.0
-26.171635924768633,-27.09017559235934,2.086256,1.9800005543256032,3.871690682665771,-0.14028305539984506,-0.5300255879083027,-0.7440944936430428,-0.9999771816775467,-0.03711618,PSR,3FGL J0002.6+6218,4FGL J0002.8+6217,0.7201,62.2905,117.32041,-0.051036116,,27.668653,2.568837E-9,1.2585273E-10,1.5058056E-12,PLSuperExpCutoff,2.0840447E-12,1.1812959,0.0130063975,0.6666667,9.680294,4.7018147,PSR J0002+6216,,0,0,0.0010812287873828237,0.9989187712126277,0.03824023446543562,0.9617597655345644,0.06077883722040853,0.9392211627795912,0.2752784384853358,0.7247215615146648,1.0,0.997,1.0,1.0
-25.519908804751754,-26.96636497786853,2.0204341,1.8251888616763319,3.515441808264368,-0.3449328463347164,-0.5753830884198017,-0.6885031981532694,-0.999988362289768,0.87194085,PSR,3FGL J0359.5+5413,4FGL J0359.4+5414,59.8638,54.2482,148.23413,0.88509154,,28.061102,3.2478238E-9,1.5387494E-10,1.5416355E-12,PLSuperExpCutoff,1.8683195E-12,1.0805849,0.01222524,0.6666667,10.697172,3.7491198,PSR J0359+5414,,0,0,0.00035788743747311447,0.9996421125625539,0.036053806850157105,0.9639461931498426,0.04231935793269983,0.9576806420673005,0.31525844271916503,0.6847415572808346,1.0,0.997,1.0,0.998
-26.09074937571139,-27.83548877741808,2.2817585,1.4368438339407559,4.0732542161718985,-0.3811267602277588,-0.7169768315834403,-0.99998705434372,0.99282432214382,-35.392704,PSR,3FGL J0514.6-4406,4FGL J0514.6-4408,78.6547,-44.1358,249.49991,-35.409126,,20.456959,5.4749816E-10,5.2620474E-11,3.500461E-13,PLSuperExpCutoff,1.9046804E-12,0.05372747,0.03910042,0.6666667,8.780688,4.7271695,PSR J0514-4407,,2048,0,0.9800007707849828,0.0199992292149958,0.9922987956641394,0.007701204335861086,0.9973737912013366,0.002626208798662899,0.9187562015882553,0.08124379841174433,0.0,0.0,0.0,0.0
-25.68879173258781,-26.689552815903248,2.5418246,2.220550836837008,3.575437566399782,-0.19831457857425827,-0.6811810706968752,-0.8717867594209209,-0.9999547563714714,0.74054885,PSR,3FGL J1056.7-5853,4FGL J1056.9-5852,164.2386,-58.8806,288.59717,0.7676919,,16.437235,2.4154414E-9,1.7073362E-10,9.843306E-13,PLSuperExpCutoff,1.5898402E-12,1.7935236E-4,0.027337437,0.6666667,7.8842607,1.8201432,PSR J1057-5851,,2050,0,0.0026520486344892014,0.9973479513655273,0.032301777033765675,0.9676982229662334,0.015903317296934207,0.9840966827030649,0.39337095518888643,0.6066290448111136,1.0,0.997,1.0,0.94
-27.105172563566466,-26.099845763238587,2.5581317,2.150100474515493,3.7633902736851685,0.9999199388834346,-0.4402749143276816,-0.689123385274944,-0.9841617898796063,-0.3890897,PSR,3FGL J1104.9-6036,4FGL J1104.9-6037,166.2343,-60.6304,290.23474,-0.4112323,,21.929918,4.1027324E-9,2.46575E-10,1.949417E-12,PLSuperExpCutoff,9.368944E-13,0.88551575,0.012353225,0.6666667,9.285917,3.5279853,PSR J1105-6037,FGES J1109.4-6115 field,0,0,9.259348383339194e-05,0.9999074065161717,0.04899312642272787,0.9510068735772734,0.06904032745161567,0.9309596725483846,0.1867236988413424,0.8132763011586576,1.0,0.997,1.0,1.0
-27.24383784011173,-26.038928649734157,2.3879848,1.7572167292764778,4.1657371964182675,0.8108492463021626,-0.35549866525889007,-0.6584084037068938,-0.9266376299454638,-0.19969934,PSR,3FGL J1208.4-6239,4FGL J1208.2-6237,182.0529,-62.6331,297.98752,-0.17705444,,25.885864,5.0835927E-9,2.936227E-10,3.2144248E-12,PLSuperExpCutoff,5.4411055E-13,1.6005255,0.0059656654,0.6666667,7.7793326,5.2362876,PSR J1208-6238,,0,0,0.004265416149279276,0.9957345838507471,0.19632326749688642,0.8036767325031143,0.3787570526746537,0.6212429473253457,0.2567598194824822,0.7432401805175178,1.0,0.996,0.903,1.0
-27.661915160209116,-26.45285220693899,2.1646054,1.8208090317967216,4.064596407721215,0.9992772719244135,-0.2672135225086611,-0.5666631178297894,-0.9999935569892606,-0.31989783,PSR,3FGL J1350.4-6224,4FGL J1350.6-6224,207.6746,-62.4133,309.7325,-0.32658818,,28.803347,6.7365042E-9,3.12789E-10,2.6127765E-12,PLSuperExpCutoff,1.2756847E-12,1.1360081,0.0092889555,0.6666667,10.164617,6.6403027,PSR J1350-6225,,4,4,0.002362705230766918,0.9976372947692216,0.09469775935440192,0.9053022406455979,0.27337790316380184,0.7266220968361984,0.258026456916951,0.7419735430830494,1.0,0.997,1.0,1.0
